time,enrolled,available,waitlisted,total
2022-05-20T04:28:45,0,100,0,100
2022-05-20T04:39:24,0,100,0,100
2022-05-20T04:49:41,0,100,0,100
2022-05-20T04:59:57,0,100,0,100
2022-05-20T05:10:13,0,100,0,100
2022-05-20T05:20:28,0,100,0,100
2022-05-20T05:30:43,0,100,0,100
2022-05-20T05:40:59,0,100,0,100
2022-05-20T05:51:15,0,100,0,100
2022-05-20T06:01:31,0,100,0,100
2022-05-20T06:11:45,0,100,0,100
2022-05-20T06:22:01,0,100,0,100
2022-05-20T06:32:16,0,100,0,100
2022-05-20T06:42:30,0,100,0,100
2022-05-20T06:52:44,0,100,0,100
2022-05-20T07:03:00,0,100,0,100
2022-05-20T07:13:14,0,100,0,100
2022-05-20T07:23:28,0,100,0,100
2022-05-20T07:33:41,0,100,0,100
2022-05-20T07:43:55,0,100,0,100
2022-05-20T07:54:09,0,100,0,100
2022-05-20T08:04:23,0,100,0,100
2022-05-20T08:14:38,0,100,0,100
2022-05-20T08:24:53,1,99,0,100
2022-05-20T08:35:08,1,99,0,100
2022-05-20T08:45:23,1,99,0,100
2022-05-20T08:55:37,1,99,0,100
2022-05-20T09:05:53,1,99,0,100
2022-05-20T09:16:21,1,99,0,100
2022-05-20T09:26:36,1,99,0,100
2022-05-20T09:36:52,1,99,0,100
2022-05-20T09:47:08,1,99,0,100
2022-05-20T09:57:24,1,99,0,100
2022-05-20T10:07:41,1,99,0,100
2022-05-20T10:17:56,1,99,0,100
2022-05-20T10:28:12,1,99,0,100
2022-05-20T10:38:28,1,99,0,100
2022-05-20T10:48:44,1,99,0,100
2022-05-20T10:59:13,1,99,0,100
2022-05-20T11:09:29,1,99,0,100
2022-05-20T11:19:46,1,99,0,100
2022-05-20T11:30:01,1,99,0,100
2022-05-20T11:40:17,1,99,0,100
2022-05-20T11:50:34,1,99,0,100
2022-05-20T12:01:03,1,99,0,100
2022-05-20T12:11:19,1,99,0,100
2022-05-20T12:21:34,1,99,0,100
2022-05-20T12:31:49,1,99,0,100
2022-05-20T12:42:04,1,99,0,100
2022-05-20T12:52:20,1,99,0,100
2022-05-20T13:02:47,1,99,0,100
2022-05-20T13:13:03,1,99,0,100
2022-05-20T13:23:20,1,99,0,100
2022-05-20T13:33:36,1,99,0,100
2022-05-20T13:43:53,1,99,0,100
2022-05-20T13:54:08,1,99,0,100
2022-05-20T14:04:24,1,99,0,100
2022-05-20T14:14:50,1,99,0,100
2022-05-20T14:25:06,1,99,0,100
2022-05-20T14:35:21,1,99,0,100
2022-05-20T14:45:37,1,99,0,100
2022-05-20T14:55:52,1,99,0,100
2022-05-20T15:06:18,1,99,0,100
2022-05-20T15:16:34,1,99,0,100
2022-05-20T15:26:49,1,99,0,100
2022-05-20T15:37:04,1,99,0,100
2022-05-20T15:47:19,1,99,0,100
2022-05-20T15:57:34,1,99,0,100
2022-05-20T16:07:49,1,99,0,100
2022-05-20T16:18:04,1,99,0,100
2022-05-20T16:28:29,1,99,0,100
2022-05-20T16:38:44,1,99,0,100
2022-05-20T16:48:58,1,99,0,100
2022-05-20T16:59:12,1,99,0,100
2022-05-20T17:09:27,1,99,0,100
2022-05-20T17:19:41,1,99,0,100
2022-05-20T17:29:54,1,99,0,100
2022-05-20T17:40:09,1,99,0,100
