time,enrolled,available,waitlisted,total
2022-05-20T04:33:30,0,360,0,360
2022-05-20T04:43:46,0,360,0,360
2022-05-20T04:54:03,0,360,0,360
2022-05-20T05:04:19,0,360,0,360
2022-05-20T05:14:35,0,360,0,360
2022-05-20T05:24:50,0,360,0,360
2022-05-20T05:35:06,0,360,0,360
2022-05-20T05:45:21,0,360,0,360
2022-05-20T05:55:37,0,360,0,360
2022-05-20T06:05:53,0,360,0,360
2022-05-20T06:16:07,0,360,0,360
2022-05-20T06:26:23,0,360,0,360
2022-05-20T06:36:38,0,360,0,360
2022-05-20T06:46:52,0,360,0,360
2022-05-20T06:57:05,0,360,0,360
2022-05-20T07:07:22,0,360,0,360
2022-05-20T07:17:35,0,360,0,360
2022-05-20T07:27:49,0,360,0,360
2022-05-20T07:38:03,0,360,0,360
2022-05-20T07:48:17,0,360,0,360
2022-05-20T07:58:31,0,360,0,360
2022-05-20T08:08:45,0,360,0,360
2022-05-20T08:18:59,0,360,0,360
2022-05-20T08:29:15,0,360,0,360
2022-05-20T08:39:30,0,360,0,360
2022-05-20T08:49:45,0,360,0,360
2022-05-20T08:59:59,0,360,0,360
2022-05-20T09:10:27,0,360,0,360
2022-05-20T09:20:43,0,360,0,360
2022-05-20T09:30:59,0,360,0,360
2022-05-20T09:41:14,0,360,0,360
2022-05-20T09:51:30,0,360,0,360
2022-05-20T10:01:47,0,360,0,360
2022-05-20T10:12:03,0,360,0,360
2022-05-20T10:22:18,0,360,0,360
2022-05-20T10:32:35,0,360,0,360
2022-05-20T10:42:50,0,360,0,360
2022-05-20T10:53:19,0,360,0,360
2022-05-20T11:03:36,0,360,0,360
2022-05-20T11:13:52,0,360,0,360
2022-05-20T11:24:08,0,360,0,360
2022-05-20T11:34:24,0,360,0,360
2022-05-20T11:44:40,0,360,0,360
2022-05-20T11:55:10,0,360,0,360
2022-05-20T12:05:26,0,360,0,360
2022-05-20T12:15:41,0,360,0,360
2022-05-20T12:25:56,0,360,0,360
2022-05-20T12:36:11,0,360,0,360
2022-05-20T12:46:27,1,359,0,360
2022-05-20T12:56:43,1,359,0,360
2022-05-20T13:07:09,4,356,0,360
2022-05-20T13:17:26,6,354,0,360
2022-05-20T13:27:42,7,353,0,360
2022-05-20T13:37:59,9,351,0,360
2022-05-20T13:48:15,9,351,0,360
2022-05-20T13:58:31,9,351,0,360
2022-05-20T14:08:57,9,351,0,360
2022-05-20T14:19:12,9,351,0,360
2022-05-20T14:29:28,9,351,0,360
2022-05-20T14:39:43,9,351,0,360
2022-05-20T14:49:59,9,351,0,360
2022-05-20T15:00:14,9,351,0,360
2022-05-20T15:10:40,9,351,0,360
2022-05-20T15:20:56,9,351,0,360
2022-05-20T15:31:11,9,351,0,360
2022-05-20T15:41:26,9,351,0,360
2022-05-20T15:51:41,9,351,0,360
2022-05-20T16:01:56,9,351,0,360
2022-05-20T16:12:11,9,351,0,360
2022-05-20T16:22:37,9,351,0,360
2022-05-20T16:32:51,9,351,0,360
2022-05-20T16:43:05,9,351,0,360
2022-05-20T16:53:20,9,351,0,360
2022-05-20T17:03:34,9,351,0,360
2022-05-20T17:13:49,9,351,0,360
2022-05-20T17:24:02,9,351,0,360
2022-05-20T17:34:16,9,351,0,360
2022-05-20T17:44:30,9,351,0,360
2022-05-20T17:54:44,9,351,0,360
2022-05-20T18:04:58,9,351,0,360
2022-05-20T18:15:21,9,351,0,360
2022-05-20T18:25:35,9,351,0,360
2022-05-20T18:35:48,9,351,0,360
2022-05-20T18:46:01,9,351,0,360
2022-05-20T18:56:15,9,351,0,360
2022-05-20T19:06:29,9,351,0,360
2022-05-20T19:16:43,9,351,0,360
2022-05-20T19:26:57,9,351,0,360
2022-05-20T19:37:10,10,350,0,360
2022-05-20T19:47:25,10,350,0,360
2022-05-20T19:57:49,10,350,0,360
2022-05-20T20:08:02,10,350,0,360
2022-05-20T20:18:16,10,350,0,360
2022-05-20T20:28:30,10,350,0,360
2022-05-20T20:38:43,10,350,0,360
2022-05-20T20:48:56,10,350,0,360
2022-05-20T20:59:10,10,350,0,360
2022-05-20T21:09:24,10,350,0,360
2022-05-20T21:19:37,10,350,0,360
2022-05-20T21:30:02,10,350,0,360
2022-05-20T21:40:15,10,350,0,360
2022-05-20T21:50:28,10,350,0,360
2022-05-20T22:00:43,10,350,0,360
2022-05-20T22:10:57,10,350,0,360
2022-05-20T22:21:12,10,350,0,360
2022-05-20T22:31:25,10,350,0,360
2022-05-20T22:41:39,10,350,0,360
2022-05-20T22:51:52,10,350,0,360
2022-05-20T23:02:06,10,350,0,360
2022-05-20T23:12:31,10,350,0,360
2022-05-20T23:22:44,10,350,0,360
2022-05-20T23:32:58,10,350,0,360
2022-05-20T23:43:12,10,350,0,360
2022-05-20T23:53:25,10,350,0,360
2022-05-21T00:03:40,10,350,0,360
2022-05-21T00:13:55,10,350,0,360
2022-05-21T00:24:11,10,350,0,360
2022-05-21T00:34:27,10,350,0,360
2022-05-21T00:44:43,10,350,0,360
2022-05-21T00:54:59,10,350,0,360
2022-05-21T01:05:14,10,350,0,360
2022-05-21T01:15:30,10,350,0,360
2022-05-21T01:25:44,10,350,0,360
2022-05-21T01:36:00,10,350,0,360
2022-05-21T01:46:15,10,350,0,360
2022-05-21T01:56:29,10,350,0,360
2022-05-21T02:06:53,10,350,0,360
2022-05-21T02:17:07,10,350,0,360
2022-05-21T02:27:20,10,350,0,360
2022-05-21T02:37:33,10,350,0,360
2022-05-21T02:47:46,10,350,0,360
2022-05-21T02:57:59,10,350,0,360
2022-05-21T03:08:12,10,350,0,360
2022-05-21T03:18:32,10,350,0,360
2022-05-21T03:28:46,10,350,0,360
2022-05-21T03:39:02,10,350,0,360
2022-05-21T03:49:18,10,350,0,360
2022-05-21T03:59:33,10,350,0,360
2022-05-21T04:09:48,10,350,0,360
2022-05-21T04:25:09,10,350,0,360
2022-05-21T04:36:34,10,350,0,360
2022-05-21T04:47:05,10,350,0,360
2022-05-21T04:57:21,10,350,0,360
2022-05-21T05:07:36,10,350,0,360
2022-05-21T05:17:53,10,350,0,360
2022-05-21T05:28:08,10,350,0,360
2022-05-21T05:38:24,10,350,0,360
2022-05-21T05:48:40,10,350,0,360
2022-05-21T05:58:56,10,350,0,360
2022-05-21T06:09:11,10,350,0,360
2022-05-21T06:19:26,10,350,0,360
2022-05-21T06:29:43,10,350,0,360
2022-05-21T06:39:58,10,350,0,360
2022-05-21T06:50:14,10,350,0,360
2022-05-21T07:00:29,10,350,0,360
2022-05-21T07:10:44,10,350,0,360
2022-05-21T07:21:00,10,350,0,360
2022-05-21T07:31:15,10,350,0,360
2022-05-21T07:41:30,10,350,0,360
2022-05-21T07:51:44,10,350,0,360
2022-05-21T08:01:59,10,350,0,360
2022-05-21T08:12:13,10,350,0,360
2022-05-21T08:22:30,10,350,0,360
2022-05-21T08:32:45,10,350,0,360
2022-05-21T08:42:59,10,350,0,360
2022-05-21T08:53:36,10,350,0,360
2022-05-21T09:03:50,10,350,0,360
2022-05-21T09:14:03,10,350,0,360
2022-05-21T09:24:16,10,350,0,360
2022-05-21T09:34:29,10,350,0,360
2022-05-21T09:44:42,10,350,0,360
2022-05-21T09:54:55,10,350,0,360
2022-05-21T10:05:09,10,350,0,360
2022-05-21T10:15:22,10,350,0,360
2022-05-21T10:25:35,10,350,0,360
2022-05-21T10:35:48,10,350,0,360
2022-05-21T10:46:01,10,350,0,360
2022-05-21T10:56:14,10,350,0,360
2022-05-21T11:06:28,10,350,0,360
2022-05-21T11:16:53,10,350,0,360
2022-05-21T11:27:07,10,350,0,360
2022-05-21T11:37:20,10,350,0,360
2022-05-21T11:47:34,10,350,0,360
2022-05-21T11:57:47,10,350,0,360
2022-05-21T12:08:02,10,350,0,360
2022-05-21T12:18:16,10,350,0,360
2022-05-21T12:28:29,10,350,0,360
2022-05-21T12:39:02,11,349,0,360
2022-05-21T12:49:16,11,349,0,360
2022-05-21T12:59:29,11,349,0,360
2022-05-21T13:09:43,11,349,0,360
2022-05-21T13:19:56,11,349,0,360
2022-05-21T13:30:10,11,349,0,360
2022-05-21T13:40:23,11,349,0,360
2022-05-21T13:50:36,11,349,0,360
2022-05-21T14:00:50,11,349,0,360
2022-05-21T14:11:03,11,349,0,360
2022-05-21T14:21:27,11,349,0,360
2022-05-21T14:31:40,11,349,0,360
2022-05-21T14:41:54,11,349,0,360
2022-05-21T14:52:08,11,349,0,360
2022-05-21T15:02:23,11,349,0,360
2022-05-21T15:12:37,11,349,0,360
2022-05-21T15:22:50,11,349,0,360
2022-05-21T15:33:14,11,349,0,360
2022-05-21T15:43:27,11,349,0,360
2022-05-21T15:53:41,11,349,0,360
2022-05-21T16:03:54,11,349,0,360
2022-05-21T16:14:08,11,349,0,360
2022-05-21T16:24:21,11,349,0,360
2022-05-21T16:34:34,11,349,0,360
2022-05-21T16:44:48,11,349,0,360
2022-05-21T16:55:02,11,349,0,360
2022-05-21T17:05:33,11,349,0,360
2022-05-21T17:15:48,11,349,0,360
2022-05-21T17:26:01,11,349,0,360
2022-05-21T17:36:15,12,348,0,360
2022-05-21T17:46:28,12,348,0,360
2022-05-21T17:56:41,11,349,0,360
2022-05-21T18:06:54,11,349,0,360
2022-05-21T18:17:08,11,349,0,360
2022-05-21T18:27:22,11,349,0,360
2022-05-21T18:37:35,11,349,0,360
2022-05-21T18:48:17,11,349,0,360
2022-05-21T18:58:30,11,349,0,360
2022-05-21T19:08:43,11,349,0,360
2022-05-21T19:18:57,11,349,0,360
2022-05-21T19:29:10,11,349,0,360
2022-05-21T19:39:24,11,349,0,360
2022-05-21T19:49:38,11,349,0,360
2022-05-21T19:59:53,12,348,0,360
2022-05-21T20:10:07,12,348,0,360
2022-05-21T20:20:20,12,348,0,360
2022-05-21T20:30:34,12,348,0,360
2022-05-21T20:40:59,12,348,0,360
2022-05-21T20:51:13,12,348,0,360
2022-05-21T21:01:26,12,348,0,360
2022-05-21T21:11:40,12,348,0,360
2022-05-21T21:21:53,12,348,0,360
2022-05-21T21:32:06,12,348,0,360
2022-05-21T21:42:20,12,348,0,360
2022-05-21T21:52:33,12,348,0,360
2022-05-21T22:02:46,12,348,0,360
2022-05-21T22:13:22,12,348,0,360
2022-05-21T22:23:36,12,348,0,360
2022-05-21T22:33:49,12,348,0,360
2022-05-21T22:44:02,12,348,0,360
2022-05-21T22:54:15,12,348,0,360
2022-05-21T23:04:29,12,348,0,360
2022-05-21T23:14:42,12,348,0,360
2022-05-21T23:24:56,12,348,0,360
2022-05-21T23:35:09,12,348,0,360
2022-05-21T23:45:21,12,348,0,360
2022-05-21T23:55:34,12,348,0,360
2022-05-22T00:05:48,12,348,0,360
2022-05-22T00:16:03,12,348,0,360
2022-05-22T00:26:17,12,348,0,360
2022-05-22T00:36:44,12,348,0,360
2022-05-22T00:46:57,12,348,0,360
2022-05-22T00:57:10,12,348,0,360
2022-05-22T01:07:23,12,348,0,360
2022-05-22T01:17:36,12,348,0,360
2022-05-22T01:27:48,12,348,0,360
2022-05-22T01:38:01,12,348,0,360
2022-05-22T01:48:14,12,348,0,360
2022-05-22T01:58:27,12,348,0,360
2022-05-22T02:08:39,12,348,0,360
2022-05-22T02:18:52,12,348,0,360
2022-05-22T02:29:07,12,348,0,360
2022-05-22T02:39:24,12,348,0,360
2022-05-22T02:49:39,12,348,0,360
2022-05-22T02:59:55,12,348,0,360
2022-05-22T03:11:06,12,348,0,360
2022-05-22T03:21:21,12,348,0,360
2022-05-22T03:31:37,12,348,0,360
2022-05-22T03:42:02,12,348,0,360
2022-05-22T03:52:17,12,348,0,360
2022-05-22T04:02:31,12,348,0,360
2022-05-22T04:23:42,12,348,0,360
2022-05-22T04:33:58,12,348,0,360
2022-05-22T04:44:14,12,348,0,360
2022-05-22T04:54:30,12,348,0,360
2022-05-22T05:04:45,12,348,0,360
2022-05-22T05:15:02,12,348,0,360
2022-05-22T05:25:17,12,348,0,360
2022-05-22T05:35:32,12,348,0,360
2022-05-22T05:45:47,12,348,0,360
2022-05-22T05:56:04,12,348,0,360
2022-05-22T06:06:19,12,348,0,360
2022-05-22T06:16:34,12,348,0,360
2022-05-22T06:26:49,12,348,0,360
2022-05-22T06:37:04,12,348,0,360
2022-05-22T06:47:18,12,348,0,360
2022-05-22T06:57:32,12,348,0,360
2022-05-22T07:07:46,12,348,0,360
2022-05-22T07:17:59,12,348,0,360
2022-05-22T07:28:12,12,348,0,360
2022-05-22T07:38:26,12,348,0,360
2022-05-22T07:48:39,12,348,0,360
2022-05-22T07:58:52,12,348,0,360
2022-05-22T08:09:05,12,348,0,360
2022-05-22T08:19:17,12,348,0,360
2022-05-22T08:29:31,12,348,0,360
2022-05-22T08:39:44,12,348,0,360
2022-05-22T08:49:57,12,348,0,360
2022-05-22T09:00:10,12,348,0,360
2022-05-22T09:10:23,12,348,0,360
2022-05-22T09:20:36,12,348,0,360
2022-05-22T09:30:50,12,348,0,360
2022-05-22T09:41:03,12,348,0,360
2022-05-22T09:51:16,12,348,0,360
2022-05-22T10:01:29,12,348,0,360
2022-05-22T10:11:42,12,348,0,360
2022-05-22T10:21:56,12,348,0,360
