time,enrolled,available,waitlisted,total
2022-05-18T04:39:57,0,0,0,0
2022-05-18T04:50:07,0,0,0,0
2022-05-18T05:00:17,0,0,0,0
2022-05-18T05:10:29,0,0,0,0
2022-05-18T05:20:38,0,0,0,0
2022-05-18T05:30:50,0,0,0,0
2022-05-18T05:41:00,0,0,0,0
2022-05-18T05:51:10,0,0,0,0
2022-05-18T06:01:21,0,0,0,0
2022-05-18T06:11:32,0,0,0,0
2022-05-18T06:21:40,0,0,0,0
2022-05-18T06:31:49,0,0,0,0
2022-05-18T06:41:56,0,0,0,0
2022-05-18T06:52:04,0,0,0,0
2022-05-18T07:02:12,0,0,0,0
2022-05-18T07:12:21,0,0,0,0
2022-05-18T07:22:29,0,0,0,0
2022-05-18T07:32:36,0,0,0,0
2022-05-18T07:42:45,0,0,0,0
2022-05-18T07:52:53,0,0,0,0
2022-05-18T08:03:01,0,0,0,0
2022-05-18T08:13:08,0,0,0,0
2022-05-18T08:23:17,0,0,0,0
2022-05-18T08:33:26,0,0,0,0
2022-05-18T08:43:35,0,0,0,0
2022-05-18T08:53:44,0,0,0,0
2022-05-18T09:03:53,0,0,0,0
2022-05-18T09:14:14,0,0,0,0
2022-05-18T09:24:23,0,0,0,0
2022-05-18T09:34:32,0,0,0,0
2022-05-18T09:44:41,0,0,0,0
2022-05-18T09:54:51,0,0,0,0
2022-05-18T10:05:03,0,0,0,0
2022-05-18T10:15:14,0,0,0,0
2022-05-18T10:25:25,0,0,0,0
2022-05-18T10:35:35,0,0,0,0
2022-05-18T10:45:58,0,0,0,0
2022-05-18T10:56:07,0,0,0,0
2022-05-18T11:06:18,0,0,0,0
2022-05-18T11:16:27,0,0,0,0
2022-05-18T11:26:36,0,0,0,0
2022-05-18T11:36:45,0,0,0,0
2022-05-18T11:46:54,0,0,0,0
2022-05-18T11:57:13,0,0,0,0
2022-05-18T12:07:22,0,0,0,0
2022-05-18T12:17:30,0,0,0,0
2022-05-18T12:27:40,0,0,0,0
2022-05-18T12:37:50,0,0,0,0
2022-05-18T12:48:00,0,0,0,0
2022-05-18T12:58:11,0,0,0,0
2022-05-18T13:08:21,0,0,0,0
2022-05-18T13:18:42,0,0,0,0
2022-05-18T13:28:52,0,0,0,0
2022-05-18T13:39:03,0,0,0,0
2022-05-18T13:49:14,0,0,0,0
2022-05-18T13:59:24,0,0,0,0
2022-05-18T14:09:35,0,0,0,0
2022-05-18T14:19:45,0,0,0,0
2022-05-18T14:30:07,0,0,0,0
2022-05-18T14:40:17,0,0,0,0
2022-05-18T14:50:27,0,0,0,0
2022-05-18T15:00:38,0,0,0,0
2022-05-18T15:10:50,0,0,0,0
2022-05-18T15:21:01,0,0,0,0
2022-05-18T15:31:11,0,0,0,0
2022-05-18T15:41:32,0,0,0,0
2022-05-18T15:51:43,0,0,0,0
2022-05-18T16:01:54,0,0,0,0
2022-05-18T16:12:05,0,0,0,0
2022-05-18T16:22:16,0,0,0,0
2022-05-18T16:32:26,0,0,0,0
2022-05-18T16:42:36,0,0,0,0
2022-05-18T16:52:46,0,0,0,0
2022-05-18T17:03:06,0,0,0,0
2022-05-18T17:13:17,0,0,0,0
2022-05-18T17:23:26,0,0,0,0
2022-05-18T17:33:35,0,0,0,0
2022-05-18T17:43:44,0,0,0,0
2022-05-18T17:53:54,0,0,0,0
2022-05-18T18:04:03,0,0,0,0
2022-05-18T18:14:12,0,0,0,0
2022-05-18T18:24:23,0,0,0,0
2022-05-18T18:34:43,0,0,0,0
2022-05-18T18:44:52,0,0,0,0
2022-05-18T18:55:01,0,0,0,0
2022-05-18T19:05:10,0,0,0,0
2022-05-18T19:15:19,0,0,0,0
2022-05-18T19:25:28,0,0,0,0
2022-05-18T19:35:37,0,0,0,0
2022-05-18T19:45:46,0,0,0,0
2022-05-18T19:55:55,0,0,0,0
2022-05-18T20:06:04,0,0,0,0
2022-05-18T20:16:24,0,0,0,0
2022-05-18T20:26:33,0,0,0,0
2022-05-18T20:36:41,0,0,0,0
2022-05-18T20:46:50,0,0,0,0
2022-05-18T20:56:59,0,0,0,0
2022-05-18T21:07:10,0,0,0,0
2022-05-18T21:17:18,0,0,0,0
2022-05-18T21:27:27,0,0,0,0
2022-05-18T21:37:36,0,0,0,0
2022-05-18T21:47:45,0,0,0,0
2022-05-18T21:58:04,0,0,0,0
2022-05-18T22:08:13,0,0,0,0
2022-05-18T22:18:22,0,0,0,0
2022-05-18T22:28:31,0,0,0,0
2022-05-18T22:38:40,0,0,0,0
2022-05-18T22:48:48,0,0,0,0
2022-05-18T22:58:58,0,0,0,0
2022-05-18T23:09:08,0,0,0,0
2022-05-18T23:19:17,0,0,0,0
2022-05-18T23:29:30,0,0,0,0
2022-05-18T23:39:50,0,0,0,0
2022-05-18T23:49:59,0,0,0,0
2022-05-19T00:00:07,0,0,0,0
2022-05-19T00:10:19,0,0,0,0
2022-05-19T00:20:32,0,0,0,0
2022-05-19T00:30:45,0,0,0,0
2022-05-19T00:41:01,0,0,0,0
2022-05-19T00:51:12,0,0,0,0
2022-05-19T01:01:23,0,0,0,0
2022-05-19T01:11:32,0,0,0,0
2022-05-19T01:21:42,0,0,0,0
2022-05-19T01:31:51,0,0,0,0
2022-05-19T01:42:01,0,0,0,0
2022-05-19T01:52:11,0,0,0,0
2022-05-19T02:02:31,0,0,0,0
2022-05-19T02:12:41,0,0,0,0
2022-05-19T02:22:50,0,0,0,0
2022-05-19T02:32:58,0,0,0,0
2022-05-19T02:43:06,0,0,0,0
2022-05-19T02:53:14,0,0,0,0
2022-05-19T03:03:22,0,0,0,0
2022-05-19T03:13:33,0,0,0,0
2022-05-19T03:23:53,0,0,0,0
2022-05-19T03:34:04,0,0,0,0
2022-05-19T03:44:15,0,0,0,0
2022-05-19T03:54:25,0,0,0,0
2022-05-19T04:04:36,0,0,0,0
2022-05-19T04:31:55,0,0,0,0
2022-05-19T04:42:21,0,0,0,0
2022-05-19T04:52:34,0,0,0,0
2022-05-19T05:02:46,0,0,0,0
2022-05-19T05:12:57,0,0,0,0
2022-05-19T05:23:08,0,0,0,0
2022-05-19T05:33:19,0,0,0,0
2022-05-19T05:43:29,0,0,0,0
2022-05-19T05:53:40,0,0,0,0
2022-05-19T06:03:51,0,0,0,0
2022-05-19T06:14:02,0,0,0,0
2022-05-19T06:24:13,0,0,0,0
2022-05-19T06:34:25,0,0,0,0
2022-05-19T06:44:35,0,0,0,0
2022-05-19T06:54:46,0,0,0,0
2022-05-19T07:05:00,0,0,0,0
2022-05-19T07:15:10,0,0,0,0
2022-05-19T07:25:20,0,0,0,0
2022-05-19T07:35:29,0,0,0,0
2022-05-19T07:45:39,0,0,0,0
2022-05-19T07:55:48,0,0,0,0
2022-05-19T08:05:57,0,0,0,0
2022-05-19T08:16:06,0,0,0,0
2022-05-19T08:26:15,0,0,0,0
2022-05-19T08:36:26,0,0,0,0
2022-05-19T08:46:37,0,0,0,0
2022-05-19T08:56:47,0,0,0,0
2022-05-19T09:07:14,0,0,0,0
2022-05-19T09:17:24,0,0,0,0
2022-05-19T09:27:34,0,0,0,0
2022-05-19T09:37:45,0,0,0,0
2022-05-19T09:47:57,0,0,0,0
2022-05-19T09:58:08,0,0,0,0
2022-05-19T10:08:20,0,0,0,0
2022-05-19T10:18:31,0,0,0,0
2022-05-19T10:28:43,0,0,0,0
2022-05-19T10:39:00,0,0,0,0
2022-05-19T10:49:14,0,0,0,0
2022-05-19T10:59:26,0,0,0,0
2022-05-19T11:09:40,0,0,0,0
2022-05-19T11:20:06,0,0,0,0
2022-05-19T11:30:18,0,0,0,0
2022-05-19T11:40:30,0,0,0,0
2022-05-19T11:50:43,0,0,0,0
2022-05-19T12:00:54,0,0,0,0
2022-05-19T12:11:06,0,0,0,0
2022-05-19T12:21:18,0,0,0,0
2022-05-19T12:31:30,0,0,0,0
2022-05-19T12:42:04,0,0,0,0
2022-05-19T12:52:17,0,0,0,0
2022-05-19T13:02:32,0,0,0,0
2022-05-19T13:12:46,0,0,0,0
2022-05-19T13:23:00,0,0,0,0
2022-05-19T13:33:14,0,0,0,0
2022-05-19T13:43:29,0,0,0,0
2022-05-19T13:53:54,0,0,0,0
2022-05-19T14:04:09,0,0,0,0
2022-05-19T14:14:25,0,0,0,0
2022-05-19T14:24:41,0,0,0,0
2022-05-19T14:34:57,0,0,0,0
2022-05-19T14:45:14,0,0,0,0
2022-05-19T14:55:31,0,0,0,0
2022-05-19T15:06:07,0,0,0,0
2022-05-19T15:16:24,0,0,0,0
2022-05-19T15:26:42,0,0,0,0
2022-05-19T15:37:00,0,0,0,0
2022-05-19T15:47:19,0,0,0,0
2022-05-19T15:57:37,0,0,0,0
2022-05-19T16:07:55,0,0,0,0
2022-05-19T16:18:13,0,0,0,0
2022-05-19T16:28:32,0,0,0,0
2022-05-19T16:39:02,0,0,0,0
2022-05-19T16:49:19,0,0,0,0
2022-05-19T16:59:37,0,0,0,0
2022-05-19T17:09:54,0,0,0,0
2022-05-19T17:20:11,0,0,0,0
2022-05-19T17:30:27,0,0,0,0
2022-05-19T17:40:44,0,0,0,0
2022-05-19T17:50:59,0,0,0,0
2022-05-19T18:01:35,0,0,0,0
2022-05-19T18:11:50,0,0,0,0
2022-05-19T18:22:05,0,0,0,0
2022-05-19T18:32:21,0,0,0,0
2022-05-19T18:42:36,0,0,0,0
2022-05-19T18:52:53,0,0,0,0
2022-05-19T19:03:16,0,0,0,0
2022-05-19T19:13:42,0,0,0,0
2022-05-19T19:24:20,0,0,0,0
2022-05-19T19:34:48,0,0,0,0
2022-05-19T19:45:18,0,0,0,0
2022-05-19T19:55:42,0,0,0,0
2022-05-19T20:06:10,0,0,0,0
2022-05-19T20:16:33,0,0,0,0
2022-05-19T20:27:02,0,0,0,0
2022-05-19T20:37:18,0,0,0,0
2022-05-19T20:47:37,0,0,0,0
2022-05-19T20:58:00,0,0,0,0
2022-05-19T21:08:23,0,0,0,0
2022-05-19T21:18:45,0,0,0,0
2022-05-19T21:29:08,0,0,0,0
2022-05-19T21:39:31,0,0,0,0
2022-05-19T21:49:53,0,0,0,0
2022-05-19T22:00:26,0,0,0,0
2022-05-19T22:10:48,0,0,0,0
2022-05-19T22:21:07,0,0,0,0
2022-05-19T22:31:25,0,0,0,0
2022-05-19T22:41:43,0,0,0,0
2022-05-19T22:51:57,0,0,0,0
2022-05-19T23:02:12,0,0,0,0
2022-05-19T23:12:27,0,0,0,0
2022-05-19T23:22:43,0,0,0,0
2022-05-19T23:33:22,0,0,0,0
2022-05-19T23:43:36,0,0,0,0
2022-05-19T23:53:50,0,0,0,0
2022-05-20T00:04:07,0,0,0,0
