time,enrolled,available,waitlisted,total
2022-05-18T04:39:25,0,20,0,20
2022-05-18T04:49:35,0,20,0,20
2022-05-18T04:59:45,0,20,0,20
2022-05-18T05:09:56,0,20,0,20
2022-05-18T05:20:06,0,20,0,20
2022-05-18T05:30:18,0,20,0,20
2022-05-18T05:40:27,0,20,0,20
2022-05-18T05:50:37,0,20,0,20
2022-05-18T06:00:48,0,20,0,20
2022-05-18T06:11:00,0,20,0,20
2022-05-18T06:21:08,0,20,0,20
2022-05-18T06:31:17,0,20,0,20
2022-05-18T06:41:24,0,20,0,20
2022-05-18T06:51:32,0,20,0,20
2022-05-18T07:01:39,0,20,0,20
2022-05-18T07:11:49,0,20,0,20
2022-05-18T07:21:57,0,20,0,20
2022-05-18T07:32:04,0,20,0,20
2022-05-18T07:42:12,0,20,0,20
2022-05-18T07:52:20,0,20,0,20
2022-05-18T08:02:28,0,20,0,20
2022-05-18T08:12:36,0,20,0,20
2022-05-18T08:22:44,0,20,0,20
2022-05-18T08:32:53,0,20,0,20
2022-05-18T08:43:03,0,20,0,20
2022-05-18T08:53:12,0,20,0,20
2022-05-18T09:03:21,0,20,0,20
2022-05-18T09:13:42,0,20,0,20
2022-05-18T09:23:51,0,20,0,20
2022-05-18T09:34:00,0,20,0,20
2022-05-18T09:44:09,0,20,0,20
2022-05-18T09:54:18,0,20,0,20
2022-05-18T10:04:30,0,20,0,20
2022-05-18T10:14:42,0,20,0,20
2022-05-18T10:24:53,0,20,0,20
2022-05-18T10:35:03,0,20,0,20
2022-05-18T10:45:25,0,20,0,20
2022-05-18T10:55:35,0,20,0,20
2022-05-18T11:05:46,0,20,0,20
2022-05-18T11:15:55,0,20,0,20
2022-05-18T11:26:04,0,20,0,20
2022-05-18T11:36:13,0,20,0,20
2022-05-18T11:46:22,0,20,0,20
2022-05-18T11:56:41,0,20,0,20
2022-05-18T12:06:50,0,20,0,20
2022-05-18T12:16:58,0,20,0,20
2022-05-18T12:27:08,0,20,0,20
2022-05-18T12:37:18,0,20,0,20
2022-05-18T12:47:28,0,20,0,20
2022-05-18T12:57:39,0,20,0,20
2022-05-18T13:07:49,0,20,0,20
2022-05-18T13:18:10,0,20,0,20
2022-05-18T13:28:20,0,20,0,20
2022-05-18T13:38:31,0,20,0,20
2022-05-18T13:48:41,0,20,0,20
2022-05-18T13:58:52,0,20,0,20
2022-05-18T14:09:03,0,20,0,20
2022-05-18T14:19:13,0,20,0,20
2022-05-18T14:29:34,0,20,0,20
2022-05-18T14:39:45,0,20,0,20
2022-05-18T14:49:55,0,20,0,20
2022-05-18T15:00:06,0,20,0,20
2022-05-18T15:10:18,0,20,0,20
2022-05-18T15:20:29,0,20,0,20
2022-05-18T15:30:39,0,20,0,20
2022-05-18T15:41:00,0,20,0,20
2022-05-18T15:51:10,0,20,0,20
2022-05-18T16:01:21,0,20,0,20
2022-05-18T16:11:32,0,20,0,20
2022-05-18T16:21:44,0,20,0,20
2022-05-18T16:31:53,0,20,0,20
2022-05-18T16:42:03,0,20,0,20
2022-05-18T16:52:13,0,20,0,20
2022-05-18T17:02:33,0,20,0,20
2022-05-18T17:12:44,0,20,0,20
2022-05-18T17:22:53,0,20,0,20
2022-05-18T17:33:03,0,20,0,20
2022-05-18T17:43:12,0,20,0,20
2022-05-18T17:53:21,0,20,0,20
2022-05-18T18:03:30,0,20,0,20
2022-05-18T18:13:40,0,20,0,20
2022-05-18T18:23:50,0,20,0,20
2022-05-18T18:34:10,0,20,0,20
2022-05-18T18:44:19,0,20,0,20
2022-05-18T18:54:28,0,20,0,20
2022-05-18T19:04:37,0,20,0,20
2022-05-18T19:14:46,0,20,0,20
2022-05-18T19:24:55,0,20,0,20
2022-05-18T19:35:04,0,20,0,20
2022-05-18T19:45:13,0,20,0,20
2022-05-18T19:55:22,0,20,0,20
2022-05-18T20:05:31,0,20,0,20
2022-05-18T20:15:51,0,20,0,20
2022-05-18T20:26:00,0,20,0,20
2022-05-18T20:36:08,0,20,0,20
2022-05-18T20:46:18,0,20,0,20
2022-05-18T20:56:26,0,20,0,20
2022-05-18T21:06:37,0,20,0,20
2022-05-18T21:16:46,0,20,0,20
2022-05-18T21:26:55,0,20,0,20
2022-05-18T21:37:03,0,20,0,20
2022-05-18T21:47:12,0,20,0,20
2022-05-18T21:57:31,0,20,0,20
2022-05-18T22:07:40,0,20,0,20
2022-05-18T22:17:49,0,20,0,20
2022-05-18T22:27:58,0,20,0,20
2022-05-18T22:38:07,0,20,0,20
2022-05-18T22:48:16,0,20,0,20
2022-05-18T22:58:25,0,20,0,20
2022-05-18T23:08:35,0,20,0,20
2022-05-18T23:18:45,0,20,0,20
2022-05-18T23:28:57,0,20,0,20
2022-05-18T23:39:17,0,20,0,20
2022-05-18T23:49:26,0,20,0,20
2022-05-18T23:59:35,0,20,0,20
2022-05-19T00:09:47,0,20,0,20
2022-05-19T00:19:59,0,20,0,20
2022-05-19T00:30:12,0,20,0,20
2022-05-19T00:40:28,0,20,0,20
2022-05-19T00:50:39,0,20,0,20
2022-05-19T01:00:50,0,20,0,20
2022-05-19T01:10:59,0,20,0,20
2022-05-19T01:21:09,0,20,0,20
2022-05-19T01:31:19,0,20,0,20
2022-05-19T01:41:28,0,20,0,20
2022-05-19T01:51:39,0,20,0,20
2022-05-19T02:01:58,0,20,0,20
2022-05-19T02:12:08,0,20,0,20
2022-05-19T02:22:17,0,20,0,20
2022-05-19T02:32:26,0,20,0,20
2022-05-19T02:42:34,0,20,0,20
2022-05-19T02:52:42,0,20,0,20
2022-05-19T03:02:50,0,20,0,20
2022-05-19T03:13:00,0,20,0,20
2022-05-19T03:23:20,0,20,0,20
2022-05-19T03:33:31,0,20,0,20
2022-05-19T03:43:42,0,20,0,20
2022-05-19T03:53:52,0,20,0,20
2022-05-19T04:04:03,0,20,0,20
2022-05-19T04:31:22,0,20,0,20
2022-05-19T04:41:49,0,20,0,20
2022-05-19T04:52:01,0,20,0,20
2022-05-19T05:02:13,0,20,0,20
2022-05-19T05:12:25,0,20,0,20
2022-05-19T05:22:36,0,20,0,20
2022-05-19T05:32:47,0,20,0,20
2022-05-19T05:42:57,0,20,0,20
2022-05-19T05:53:07,0,20,0,20
2022-05-19T06:03:18,0,20,0,20
2022-05-19T06:13:29,0,20,0,20
2022-05-19T06:23:40,0,20,0,20
2022-05-19T06:33:52,0,20,0,20
2022-05-19T06:44:03,0,20,0,20
2022-05-19T06:54:13,0,20,0,20
2022-05-19T07:04:27,0,20,0,20
2022-05-19T07:14:37,0,20,0,20
2022-05-19T07:24:47,0,20,0,20
2022-05-19T07:34:57,0,20,0,20
2022-05-19T07:45:06,0,20,0,20
2022-05-19T07:55:15,0,20,0,20
2022-05-19T08:05:24,0,20,0,20
2022-05-19T08:15:33,0,20,0,20
2022-05-19T08:25:43,0,20,0,20
2022-05-19T08:35:53,0,20,0,20
2022-05-19T08:46:04,0,20,0,20
2022-05-19T08:56:14,0,20,0,20
2022-05-19T09:06:41,0,20,0,20
2022-05-19T09:16:51,0,20,0,20
2022-05-19T09:27:01,0,20,0,20
2022-05-19T09:37:12,0,20,0,20
2022-05-19T09:47:24,0,20,0,20
2022-05-19T09:57:35,0,20,0,20
2022-05-19T10:07:47,0,20,0,20
2022-05-19T10:17:58,0,20,0,20
2022-05-19T10:28:10,0,20,0,20
2022-05-19T10:38:27,0,20,0,20
2022-05-19T10:48:40,0,20,0,20
2022-05-19T10:58:53,0,20,0,20
2022-05-19T11:09:06,0,20,0,20
2022-05-19T11:19:33,0,20,0,20
2022-05-19T11:29:45,0,20,0,20
2022-05-19T11:39:57,0,20,0,20
2022-05-19T11:50:09,0,20,0,20
2022-05-19T12:00:21,0,20,0,20
2022-05-19T12:10:33,0,20,0,20
2022-05-19T12:20:45,0,20,0,20
2022-05-19T12:30:57,0,20,0,20
2022-05-19T12:41:10,0,20,0,20
2022-05-19T12:51:44,0,20,0,20
2022-05-19T13:01:58,0,20,0,20
2022-05-19T13:12:13,0,20,0,20
2022-05-19T13:22:27,0,20,0,20
2022-05-19T13:32:41,0,20,0,20
