time,enrolled,available,waitlisted,total
2022-05-18T04:36:33,0,50,0,50
2022-05-18T04:46:44,0,50,0,50
2022-05-18T04:56:54,0,50,0,50
2022-05-18T05:07:06,0,50,0,50
2022-05-18T05:17:15,0,50,0,50
2022-05-18T05:27:27,0,50,0,50
2022-05-18T05:37:37,0,50,0,50
2022-05-18T05:47:46,0,50,0,50
2022-05-18T05:57:57,0,50,0,50
2022-05-18T06:08:10,0,50,0,50
2022-05-18T06:18:18,0,50,0,50
2022-05-18T06:28:26,0,50,0,50
2022-05-18T06:38:34,0,50,0,50
2022-05-18T06:48:42,0,50,0,50
2022-05-18T06:58:49,0,50,0,50
2022-05-18T07:08:58,0,50,0,50
2022-05-18T07:19:06,0,50,0,50
2022-05-18T07:29:14,0,50,0,50
2022-05-18T07:39:22,0,50,0,50
2022-05-18T07:49:30,0,50,0,50
2022-05-18T07:59:38,0,50,0,50
2022-05-18T08:09:46,0,50,0,50
2022-05-18T08:19:54,0,50,0,50
2022-05-18T08:30:03,0,50,0,50
2022-05-18T08:40:12,0,50,0,50
2022-05-18T08:50:21,0,50,0,50
2022-05-18T09:00:30,0,50,0,50
2022-05-18T09:10:51,0,50,0,50
2022-05-18T09:21:00,0,50,0,50
2022-05-18T09:31:09,0,50,0,50
2022-05-18T09:41:18,0,50,0,50
2022-05-18T09:51:27,0,50,0,50
2022-05-18T10:01:39,0,50,0,50
2022-05-18T10:11:50,0,50,0,50
2022-05-18T10:22:02,0,50,0,50
2022-05-18T10:32:12,0,50,0,50
2022-05-18T10:42:34,0,50,0,50
2022-05-18T10:52:44,0,50,0,50
2022-05-18T11:02:55,0,50,0,50
2022-05-18T11:13:05,0,50,0,50
2022-05-18T11:23:13,0,50,0,50
2022-05-18T11:33:23,0,50,0,50
2022-05-18T11:43:31,0,50,0,50
2022-05-18T11:53:51,0,50,0,50
2022-05-18T12:03:59,0,50,0,50
2022-05-18T12:14:07,0,50,0,50
2022-05-18T12:24:16,0,50,0,50
2022-05-18T12:34:26,0,50,0,50
2022-05-18T12:44:36,0,50,0,50
2022-05-18T12:54:47,0,50,0,50
2022-05-18T13:04:57,0,50,0,50
2022-05-18T13:15:18,0,50,0,50
2022-05-18T13:25:28,0,50,0,50
2022-05-18T13:35:39,0,50,0,50
2022-05-18T13:45:50,0,50,0,50
2022-05-18T13:56:01,0,50,0,50
2022-05-18T14:06:11,0,50,0,50
2022-05-18T14:16:21,0,50,0,50
2022-05-18T14:26:43,0,50,0,50
2022-05-18T14:36:53,0,50,0,50
2022-05-18T14:47:03,0,50,0,50
2022-05-18T14:57:14,0,50,0,50
2022-05-18T15:07:26,0,50,0,50
2022-05-18T15:17:37,0,50,0,50
2022-05-18T15:27:47,0,50,0,50
2022-05-18T15:38:08,0,50,0,50
2022-05-18T15:48:19,0,50,0,50
2022-05-18T15:58:30,0,50,0,50
2022-05-18T16:08:41,0,50,0,50
2022-05-18T16:18:52,0,50,0,50
2022-05-18T16:29:02,0,50,0,50
2022-05-18T16:39:12,0,50,0,50
2022-05-18T16:49:21,0,50,0,50
2022-05-18T16:59:42,0,50,0,50
2022-05-18T17:09:52,0,50,0,50
2022-05-18T17:20:02,0,50,0,50
2022-05-18T17:30:11,0,50,0,50
2022-05-18T17:40:21,0,50,0,50
2022-05-18T17:50:30,0,50,0,50
2022-05-18T18:00:39,0,50,0,50
2022-05-18T18:10:48,0,50,0,50
2022-05-18T18:20:59,0,50,0,50
2022-05-18T18:31:09,0,50,0,50
2022-05-18T18:41:28,0,50,0,50
2022-05-18T18:51:37,0,50,0,50
2022-05-18T19:01:46,0,50,0,50
2022-05-18T19:11:55,0,50,0,50
2022-05-18T19:22:04,0,50,0,50
2022-05-18T19:32:13,0,50,0,50
2022-05-18T19:42:22,0,50,0,50
2022-05-18T19:52:31,0,50,0,50
2022-05-18T20:02:40,0,50,0,50
2022-05-18T20:12:49,0,50,0,50
2022-05-18T20:23:09,0,50,0,50
2022-05-18T20:33:17,0,50,0,50
2022-05-18T20:43:26,0,50,0,50
2022-05-18T20:53:35,0,50,0,50
2022-05-18T21:03:46,0,50,0,50
2022-05-18T21:13:54,0,50,0,50
2022-05-18T21:24:03,0,50,0,50
2022-05-18T21:34:12,0,50,0,50
