time,enrolled,available,waitlisted,total
2022-05-20T04:28:45,0,75,0,75
2022-05-20T04:39:24,0,75,0,75
2022-05-20T04:49:41,0,75,0,75
2022-05-20T04:59:57,0,75,0,75
2022-05-20T05:10:13,0,75,0,75
2022-05-20T05:20:28,0,75,0,75
2022-05-20T05:30:44,0,75,0,75
2022-05-20T05:41:00,0,75,0,75
2022-05-20T05:51:15,0,75,0,75
2022-05-20T06:01:31,0,75,0,75
2022-05-20T06:11:46,0,75,0,75
2022-05-20T06:22:02,0,75,0,75
2022-05-20T06:32:17,0,75,0,75
2022-05-20T06:42:31,0,75,0,75
2022-05-20T06:52:44,0,75,0,75
2022-05-20T07:03:01,0,75,0,75
2022-05-20T07:13:14,0,75,0,75
2022-05-20T07:23:28,0,75,0,75
2022-05-20T07:33:41,0,75,0,75
2022-05-20T07:43:56,0,75,0,75
2022-05-20T07:54:10,0,75,0,75
2022-05-20T08:04:24,0,75,0,75
2022-05-20T08:14:38,0,75,0,75
2022-05-20T08:24:54,0,75,0,75
2022-05-20T08:35:09,0,75,0,75
2022-05-20T08:45:23,0,75,0,75
2022-05-20T08:55:38,0,75,0,75
2022-05-20T09:05:54,0,75,0,75
2022-05-20T09:16:21,0,75,0,75
2022-05-20T09:26:37,0,75,0,75
2022-05-20T09:36:53,0,75,0,75
2022-05-20T09:47:09,0,75,0,75
2022-05-20T09:57:25,0,75,0,75
2022-05-20T10:07:42,0,75,0,75
2022-05-20T10:17:57,0,75,0,75
2022-05-20T10:28:13,0,75,0,75
2022-05-20T10:38:29,0,75,0,75
2022-05-20T10:48:45,0,75,0,75
2022-05-20T10:59:13,0,75,0,75
2022-05-20T11:09:30,0,75,0,75
2022-05-20T11:19:46,0,75,0,75
2022-05-20T11:30:02,0,75,0,75
2022-05-20T11:40:18,0,75,0,75
2022-05-20T11:50:34,0,75,0,75
2022-05-20T12:01:03,0,75,0,75
2022-05-20T12:11:19,0,75,0,75
2022-05-20T12:21:35,0,75,0,75
2022-05-20T12:31:49,0,75,0,75
2022-05-20T12:42:05,0,75,0,75
2022-05-20T12:52:20,0,75,0,75
2022-05-20T13:02:48,0,75,0,75
2022-05-20T13:13:04,0,75,0,75
2022-05-20T13:23:20,0,75,0,75
2022-05-20T13:33:36,0,75,0,75
2022-05-20T13:43:53,0,75,0,75
2022-05-20T13:54:09,0,75,0,75
2022-05-20T14:04:25,0,75,0,75
2022-05-20T14:14:51,0,75,0,75
2022-05-20T14:25:06,0,75,0,75
2022-05-20T14:35:22,0,75,0,75
2022-05-20T14:45:38,0,75,0,75
2022-05-20T14:55:53,0,75,0,75
2022-05-20T15:06:19,0,75,0,75
2022-05-20T15:16:34,0,75,0,75
2022-05-20T15:26:50,0,75,0,75
2022-05-20T15:37:05,0,75,0,75
2022-05-20T15:47:20,0,75,0,75
2022-05-20T15:57:34,0,75,0,75
2022-05-20T16:07:50,0,75,0,75
2022-05-20T16:18:04,0,75,0,75
2022-05-20T16:28:30,0,75,0,75
2022-05-20T16:38:44,0,75,0,75
2022-05-20T16:48:58,0,75,0,75
2022-05-20T16:59:13,0,75,0,75
2022-05-20T17:09:27,0,75,0,75
2022-05-20T17:19:41,0,75,0,75
2022-05-20T17:29:55,0,75,0,75
2022-05-20T17:40:09,0,75,0,75
2022-05-20T17:50:24,0,75,0,75
2022-05-20T18:00:37,0,75,0,75
2022-05-20T18:11:00,0,75,0,75
2022-05-20T18:21:14,0,75,0,75
2022-05-20T18:31:27,0,75,0,75
2022-05-20T18:41:41,0,75,0,75
2022-05-20T18:51:54,0,75,0,75
2022-05-20T19:02:08,0,75,0,75
2022-05-20T19:12:22,0,75,0,75
2022-05-20T19:22:36,0,75,0,75
2022-05-20T19:32:50,0,75,0,75
2022-05-20T19:43:04,0,75,0,75
2022-05-20T19:53:17,0,75,0,75
2022-05-20T20:03:41,0,75,0,75
2022-05-20T20:13:55,0,75,0,75
2022-05-20T20:24:09,0,75,0,75
2022-05-20T20:34:22,0,75,0,75
2022-05-20T20:44:35,0,75,0,75
2022-05-20T20:54:49,0,75,0,75
2022-05-20T21:05:02,0,75,0,75
2022-05-20T21:15:16,0,75,0,75
2022-05-20T21:25:41,0,75,0,75
2022-05-20T21:35:54,0,75,0,75
