time,enrolled,available,waitlisted,total
2022-05-18T04:35:08,0,75,0,75
2022-05-18T04:45:41,0,75,0,75
2022-05-18T04:55:52,0,75,0,75
2022-05-18T05:06:03,0,75,0,75
2022-05-18T05:16:13,0,75,0,75
2022-05-18T05:26:24,0,75,0,75
2022-05-18T05:36:34,0,75,0,75
2022-05-18T05:46:44,0,75,0,75
2022-05-18T05:56:54,0,75,0,75
2022-05-18T06:07:07,0,75,0,75
2022-05-18T06:17:15,0,75,0,75
2022-05-18T06:27:24,0,75,0,75
2022-05-18T06:37:32,0,75,0,75
2022-05-18T06:47:39,0,75,0,75
2022-05-18T06:57:47,0,75,0,75
2022-05-18T07:07:56,0,75,0,75
2022-05-18T07:18:04,0,75,0,75
2022-05-18T07:28:11,0,75,0,75
2022-05-18T07:38:19,0,75,0,75
2022-05-18T07:48:28,0,75,0,75
2022-05-18T07:58:36,0,75,0,75
2022-05-18T08:08:44,0,75,0,75
2022-05-18T08:18:52,0,75,0,75
2022-05-18T08:29:00,0,75,0,75
2022-05-18T08:39:09,0,75,0,75
2022-05-18T08:49:19,0,75,0,75
2022-05-18T08:59:28,0,75,0,75
2022-05-18T09:09:49,0,75,0,75
2022-05-18T09:19:58,0,75,0,75
2022-05-18T09:30:07,0,75,0,75
2022-05-18T09:40:16,0,75,0,75
2022-05-18T09:50:25,0,75,0,75
2022-05-18T10:00:36,0,75,0,75
2022-05-18T10:10:48,0,75,0,75
2022-05-18T10:20:59,0,75,0,75
2022-05-18T10:31:10,0,75,0,75
2022-05-18T10:41:32,0,75,0,75
2022-05-18T10:51:42,0,75,0,75
2022-05-18T11:01:52,0,75,0,75
2022-05-18T11:12:02,0,75,0,75
2022-05-18T11:22:11,0,75,0,75
2022-05-18T11:32:20,0,75,0,75
2022-05-18T11:42:29,0,75,0,75
2022-05-18T11:52:48,0,75,0,75
2022-05-18T12:02:57,0,75,0,75
2022-05-18T12:13:05,0,75,0,75
2022-05-18T12:23:13,0,75,0,75
2022-05-18T12:33:24,0,75,0,75
2022-05-18T12:43:34,0,75,0,75
2022-05-18T12:53:44,0,75,0,75
2022-05-18T13:03:55,0,75,0,75
2022-05-18T13:14:16,0,75,0,75
2022-05-18T13:24:25,0,75,0,75
2022-05-18T13:34:36,0,75,0,75
2022-05-18T13:44:47,0,75,0,75
2022-05-18T13:54:58,0,75,0,75
2022-05-18T14:05:08,0,75,0,75
2022-05-18T14:15:19,0,75,0,75
2022-05-18T14:25:29,0,75,0,75
2022-05-18T14:35:51,0,75,0,75
2022-05-18T14:46:01,0,75,0,75
2022-05-18T14:56:11,0,75,0,75
2022-05-18T15:06:23,0,75,0,75
2022-05-18T15:16:35,0,75,0,75
