time,enrolled,available,waitlisted,total
2022-05-20T04:31:31,0,25,0,25
2022-05-20T04:41:47,0,25,0,25
2022-05-20T04:52:04,0,25,0,25
2022-05-20T05:02:21,0,25,0,25
2022-05-20T05:12:36,0,25,0,25
2022-05-20T05:22:51,0,25,0,25
2022-05-20T05:33:07,0,25,0,25
2022-05-20T05:43:23,0,25,0,25
2022-05-20T05:53:38,0,25,0,25
2022-05-20T06:03:54,0,25,0,25
2022-05-20T06:14:09,0,25,0,25
2022-05-20T06:24:25,0,25,0,25
2022-05-20T06:34:39,0,25,0,25
2022-05-20T06:44:54,0,25,0,25
2022-05-20T06:55:07,0,25,0,25
2022-05-20T07:05:24,0,25,0,25
2022-05-20T07:15:37,0,25,0,25
2022-05-20T07:25:51,0,25,0,25
2022-05-20T07:36:04,0,25,0,25
2022-05-20T07:46:19,0,25,0,25
2022-05-20T07:56:33,0,25,0,25
2022-05-20T08:06:47,0,25,0,25
2022-05-20T08:17:01,0,25,0,25
2022-05-20T08:27:17,0,25,0,25
2022-05-20T08:37:32,0,25,0,25
2022-05-20T08:47:46,0,25,0,25
2022-05-20T08:58:01,0,25,0,25
2022-05-20T09:08:28,0,25,0,25
2022-05-20T09:18:44,0,25,0,25
2022-05-20T09:29:00,0,25,0,25
2022-05-20T09:39:16,0,25,0,25
2022-05-20T09:49:32,0,25,0,25
2022-05-20T09:59:48,0,25,0,25
2022-05-20T10:10:05,0,25,0,25
2022-05-20T10:20:20,0,25,0,25
2022-05-20T10:30:36,0,25,0,25
2022-05-20T10:40:52,0,25,0,25
2022-05-20T10:51:21,0,25,0,25
2022-05-20T11:01:37,0,25,0,25
2022-05-20T11:11:53,0,25,0,25
2022-05-20T11:22:10,1,24,0,25
2022-05-20T11:32:25,1,24,0,25
2022-05-20T11:42:41,1,24,0,25
2022-05-20T11:53:11,1,24,0,25
2022-05-20T12:03:27,1,24,0,25
2022-05-20T12:13:42,1,24,0,25
2022-05-20T12:23:58,1,24,0,25
2022-05-20T12:34:13,1,24,0,25
2022-05-20T12:44:28,1,24,0,25
2022-05-20T12:54:44,1,24,0,25
2022-05-20T13:05:11,1,24,0,25
2022-05-20T13:15:27,1,24,0,25
2022-05-20T13:25:43,1,24,0,25
2022-05-20T13:36:00,1,24,0,25
2022-05-20T13:46:17,1,24,0,25
2022-05-20T13:56:32,1,24,0,25
2022-05-20T14:06:59,1,24,0,25
2022-05-20T14:17:14,1,24,0,25
2022-05-20T14:27:29,1,24,0,25
2022-05-20T14:37:45,1,24,0,25
2022-05-20T14:48:01,1,24,0,25
2022-05-20T14:58:16,1,24,0,25
2022-05-20T15:08:42,1,24,0,25
2022-05-20T15:18:57,1,24,0,25
2022-05-20T15:29:13,1,24,0,25
2022-05-20T15:39:28,1,24,0,25
2022-05-20T15:49:43,1,24,0,25
2022-05-20T15:59:58,1,24,0,25
2022-05-20T16:10:13,1,24,0,25
2022-05-20T16:20:38,1,24,0,25
2022-05-20T16:30:53,1,24,0,25
2022-05-20T16:41:07,1,24,0,25
2022-05-20T16:51:21,1,24,0,25
2022-05-20T17:01:36,1,24,0,25
2022-05-20T17:11:50,1,24,0,25
2022-05-20T17:22:04,1,24,0,25
2022-05-20T17:32:18,1,24,0,25
2022-05-20T17:42:32,1,24,0,25
2022-05-20T17:52:46,1,24,0,25
2022-05-20T18:03:00,1,24,0,25
2022-05-20T18:13:23,1,24,0,25
2022-05-20T18:23:37,1,24,0,25
2022-05-20T18:33:50,1,24,0,25
2022-05-20T18:44:03,1,24,0,25
2022-05-20T18:54:17,1,24,0,25
2022-05-20T19:04:31,1,24,0,25
2022-05-20T19:14:45,1,24,0,25
2022-05-20T19:24:59,1,24,0,25
2022-05-20T19:35:12,1,24,0,25
2022-05-20T19:45:27,1,24,0,25
2022-05-20T19:55:40,1,24,0,25
2022-05-20T20:06:04,1,24,0,25
2022-05-20T20:16:18,1,24,0,25
2022-05-20T20:26:31,1,24,0,25
2022-05-20T20:36:45,1,24,0,25
2022-05-20T20:46:58,1,24,0,25
2022-05-20T20:57:12,1,24,0,25
2022-05-20T21:07:25,1,24,0,25
2022-05-20T21:17:39,1,24,0,25
2022-05-20T21:28:03,1,24,0,25
2022-05-20T21:38:17,1,24,0,25
2022-05-20T21:48:30,1,24,0,25
2022-05-20T21:58:45,1,24,0,25
2022-05-20T22:08:59,1,24,0,25
2022-05-20T22:19:13,1,24,0,25
2022-05-20T22:29:27,1,24,0,25
2022-05-20T22:39:41,1,24,0,25
2022-05-20T22:49:54,1,24,0,25
2022-05-20T23:00:07,1,24,0,25
2022-05-20T23:10:22,1,24,0,25
2022-05-20T23:20:46,1,24,0,25
2022-05-20T23:31:00,1,24,0,25
2022-05-20T23:41:14,1,24,0,25
2022-05-20T23:51:27,1,24,0,25
2022-05-21T00:01:41,1,24,0,25
2022-05-21T00:11:57,1,24,0,25
2022-05-21T00:22:13,1,24,0,25
2022-05-21T00:32:29,1,24,0,25
2022-05-21T00:42:45,1,24,0,25
2022-05-21T00:53:01,1,24,0,25
2022-05-21T01:03:16,1,24,0,25
2022-05-21T01:13:31,1,24,0,25
2022-05-21T01:23:46,1,24,0,25
2022-05-21T01:34:01,1,24,0,25
2022-05-21T01:44:16,1,24,0,25
2022-05-21T01:54:31,1,24,0,25
2022-05-21T02:04:55,1,24,0,25
2022-05-21T02:15:09,1,24,0,25
2022-05-21T02:25:22,1,24,0,25
2022-05-21T02:35:35,1,24,0,25
2022-05-21T02:45:48,1,24,0,25
2022-05-21T02:56:01,1,24,0,25
2022-05-21T03:06:14,1,24,0,25
2022-05-21T03:16:29,1,24,0,25
2022-05-21T03:26:48,1,24,0,25
2022-05-21T03:37:03,1,24,0,25
2022-05-21T03:47:19,1,24,0,25
2022-05-21T03:57:34,1,24,0,25
2022-05-21T04:07:50,1,24,0,25
2022-05-21T04:23:10,1,24,0,25
2022-05-21T04:34:35,1,24,0,25
2022-05-21T04:45:07,1,24,0,25
2022-05-21T04:55:23,1,24,0,25
