time,enrolled,available,waitlisted,total
2022-05-18T04:30:27,0,133,0,133
2022-05-18T04:41:01,0,133,0,133
2022-05-18T04:51:11,0,133,0,133
2022-05-18T05:01:21,0,133,0,133
2022-05-18T05:11:32,0,133,0,133
2022-05-18T05:21:42,0,133,0,133
2022-05-18T05:31:54,0,133,0,133
2022-05-18T05:42:03,0,133,0,133
2022-05-18T05:52:13,0,133,0,133
2022-05-18T06:02:25,0,133,0,133
2022-05-18T06:12:36,0,133,0,133
2022-05-18T06:22:44,0,133,0,133
2022-05-18T06:32:52,0,133,0,133
2022-05-18T06:43:00,0,133,0,133
2022-05-18T06:53:07,0,133,0,133
2022-05-18T07:03:16,0,133,0,133
2022-05-18T07:13:24,0,133,0,133
2022-05-18T07:23:32,0,133,0,133
2022-05-18T07:33:40,0,133,0,133
2022-05-18T07:43:48,0,133,0,133
2022-05-18T07:53:56,0,133,0,133
2022-05-18T08:04:04,0,133,0,133
2022-05-18T08:14:12,0,133,0,133
2022-05-18T08:24:20,0,133,0,133
2022-05-18T08:34:29,0,133,0,133
2022-05-18T08:44:38,0,133,0,133
2022-05-18T08:54:47,0,133,0,133
2022-05-18T09:04:57,0,133,0,133
2022-05-18T09:15:18,0,133,0,133
2022-05-18T09:25:26,0,133,0,133
2022-05-18T09:35:36,0,133,0,133
2022-05-18T09:45:45,0,133,0,133
2022-05-18T09:55:55,0,133,0,133
2022-05-18T10:06:06,0,133,0,133
2022-05-18T10:16:18,0,133,0,133
2022-05-18T10:26:29,0,133,0,133
2022-05-18T10:36:39,0,133,0,133
2022-05-18T10:47:01,0,133,0,133
2022-05-18T10:57:11,0,133,0,133
2022-05-18T11:07:22,0,133,0,133
2022-05-18T11:17:31,0,133,0,133
2022-05-18T11:27:40,0,133,0,133
2022-05-18T11:37:49,0,133,0,133
2022-05-18T11:47:57,0,133,0,133
2022-05-18T11:58:17,0,133,0,133
2022-05-18T12:08:25,0,133,0,133
2022-05-18T12:18:34,0,133,0,133
2022-05-18T12:28:44,0,133,0,133
2022-05-18T12:38:54,0,133,0,133
2022-05-18T12:49:04,0,133,0,133
2022-05-18T12:59:14,0,133,0,133
2022-05-18T13:09:35,0,133,0,133
2022-05-18T13:19:46,0,133,0,133
2022-05-18T13:29:55,0,133,0,133
2022-05-18T13:40:06,0,133,0,133
2022-05-18T13:50:17,0,133,0,133
2022-05-18T14:00:28,0,133,0,133
2022-05-18T14:10:38,0,133,0,133
2022-05-18T14:20:49,0,133,0,133
2022-05-18T14:31:10,0,133,0,133
2022-05-18T14:41:21,0,133,0,133
2022-05-18T14:51:31,0,133,0,133
2022-05-18T15:01:42,0,133,0,133
2022-05-18T15:11:54,0,133,0,133
2022-05-18T15:22:04,0,133,0,133
2022-05-18T15:32:15,0,133,0,133
2022-05-18T15:42:36,0,133,0,133
2022-05-18T15:52:47,0,133,0,133
2022-05-18T16:02:58,0,133,0,133
2022-05-18T16:13:09,0,133,0,133
2022-05-18T16:23:20,0,133,0,133
2022-05-18T16:33:29,0,133,0,133
2022-05-18T16:43:39,0,133,0,133
2022-05-18T16:53:49,0,133,0,133
2022-05-18T17:04:09,0,133,0,133
2022-05-18T17:14:20,0,133,0,133
2022-05-18T17:24:29,0,133,0,133
2022-05-18T17:34:39,0,133,0,133
2022-05-18T17:44:48,0,133,0,133
2022-05-18T17:54:57,0,133,0,133
2022-05-18T18:05:06,0,133,0,133
2022-05-18T18:15:16,0,133,0,133
2022-05-18T18:25:27,0,133,0,133
2022-05-18T18:35:47,0,133,0,133
2022-05-18T18:45:55,0,133,0,133
2022-05-18T18:56:04,0,133,0,133
2022-05-18T19:06:13,0,133,0,133
2022-05-18T19:16:22,0,133,0,133
2022-05-18T19:26:31,0,133,0,133
2022-05-18T19:36:40,0,133,0,133
2022-05-18T19:46:49,0,133,0,133
2022-05-18T19:56:59,0,133,0,133
2022-05-18T20:07:07,0,133,0,133
2022-05-18T20:17:27,0,133,0,133
2022-05-18T20:27:36,0,133,0,133
2022-05-18T20:37:45,0,133,0,133
2022-05-18T20:47:54,0,133,0,133
2022-05-18T20:58:02,0,133,0,133
2022-05-18T21:08:13,0,133,0,133
2022-05-18T21:18:22,0,133,0,133
2022-05-18T21:28:31,0,133,0,133
2022-05-18T21:38:39,0,133,0,133
2022-05-18T21:48:48,0,133,0,133
2022-05-18T21:59:07,0,133,0,133
2022-05-18T22:09:16,0,133,0,133
2022-05-18T22:19:25,0,133,0,133
2022-05-18T22:29:34,0,133,0,133
2022-05-18T22:39:43,0,133,0,133
2022-05-18T22:49:52,0,133,0,133
2022-05-18T23:00:01,0,133,0,133
2022-05-18T23:10:11,0,133,0,133
2022-05-18T23:20:21,0,133,0,133
2022-05-18T23:30:44,0,133,0,133
2022-05-18T23:40:53,0,133,0,133
2022-05-18T23:51:02,0,133,0,133
2022-05-19T00:01:11,0,133,0,133
2022-05-19T00:11:23,0,133,0,133
2022-05-19T00:21:35,0,133,0,133
2022-05-19T00:31:49,0,133,0,133
2022-05-19T00:42:05,0,133,0,133
2022-05-19T00:52:16,0,133,0,133
2022-05-19T01:02:26,0,133,0,133
2022-05-19T01:12:35,0,133,0,133
2022-05-19T01:22:45,0,133,0,133
2022-05-19T01:32:55,0,133,0,133
2022-05-19T01:43:04,0,133,0,133
2022-05-19T01:53:15,0,133,0,133
2022-05-19T02:03:35,0,133,0,133
2022-05-19T02:13:44,0,133,0,133
2022-05-19T02:23:53,0,133,0,133
2022-05-19T02:34:01,0,133,0,133
2022-05-19T02:44:10,0,133,0,133
2022-05-19T02:54:18,0,133,0,133
2022-05-19T03:04:26,0,133,0,133
2022-05-19T03:14:36,0,133,0,133
2022-05-19T03:24:57,0,133,0,133
2022-05-19T03:35:08,0,133,0,133
2022-05-19T03:45:18,0,133,0,133
2022-05-19T03:55:29,0,133,0,133
2022-05-19T04:05:40,0,133,0,133
2022-05-19T04:21:37,0,133,0,133
2022-05-19T04:32:59,0,133,0,133
2022-05-19T04:43:26,0,133,0,133
2022-05-19T04:53:37,0,133,0,133
2022-05-19T05:03:49,0,133,0,133
2022-05-19T05:14:01,0,133,0,133
2022-05-19T05:24:12,0,133,0,133
2022-05-19T05:34:23,0,133,0,133
2022-05-19T05:44:33,0,133,0,133
2022-05-19T05:54:44,0,133,0,133
2022-05-19T06:04:55,0,133,0,133
2022-05-19T06:15:06,0,133,0,133
2022-05-19T06:25:17,0,133,0,133
2022-05-19T06:35:28,0,133,0,133
2022-05-19T06:45:39,0,133,0,133
2022-05-19T06:55:49,0,133,0,133
2022-05-19T07:06:04,0,133,0,133
2022-05-19T07:16:14,0,133,0,133
2022-05-19T07:26:23,0,133,0,133
2022-05-19T07:36:33,0,133,0,133
2022-05-19T07:46:42,0,133,0,133
2022-05-19T07:56:51,0,133,0,133
2022-05-19T08:07:00,0,133,0,133
2022-05-19T08:17:09,0,133,0,133
2022-05-19T08:27:19,0,133,0,133
2022-05-19T08:37:29,0,133,0,133
2022-05-19T08:47:40,0,133,0,133
2022-05-19T08:57:50,0,133,0,133
2022-05-19T09:08:17,0,133,0,133
2022-05-19T09:18:27,0,133,0,133
2022-05-19T09:28:38,0,133,0,133
2022-05-19T09:38:49,0,133,0,133
2022-05-19T09:49:00,0,133,0,133
2022-05-19T09:59:12,0,133,0,133
2022-05-19T10:09:24,0,133,0,133
2022-05-19T10:19:35,0,133,0,133
2022-05-19T10:29:47,0,133,0,133
2022-05-19T10:40:04,0,133,0,133
2022-05-19T10:50:17,0,133,0,133
2022-05-19T11:00:30,0,133,0,133
2022-05-19T11:10:43,0,133,0,133
2022-05-19T11:21:09,0,133,0,133
2022-05-19T11:31:22,0,133,0,133
2022-05-19T11:41:34,0,133,0,133
2022-05-19T11:51:46,0,133,0,133
2022-05-19T12:01:58,0,133,0,133
2022-05-19T12:12:10,0,133,0,133
2022-05-19T12:22:22,0,133,0,133
2022-05-19T12:32:34,0,133,0,133
2022-05-19T12:43:07,0,133,0,133
2022-05-19T12:53:21,0,133,0,133
2022-05-19T13:03:35,0,133,0,133
2022-05-19T13:13:50,0,133,0,133
2022-05-19T13:24:04,0,133,0,133
2022-05-19T13:34:18,0,133,0,133
2022-05-19T13:44:32,0,133,0,133
2022-05-19T13:54:58,0,133,0,133
2022-05-19T14:05:13,0,133,0,133
2022-05-19T14:15:29,0,133,0,133
2022-05-19T14:25:44,0,133,0,133
2022-05-19T14:36:01,0,133,0,133
2022-05-19T14:46:18,0,133,0,133
2022-05-19T14:56:35,0,133,0,133
2022-05-19T15:07:11,0,133,0,133
2022-05-19T15:17:28,0,133,0,133
2022-05-19T15:27:46,0,133,0,133
2022-05-19T15:38:04,0,133,0,133
2022-05-19T15:48:23,0,133,0,133
2022-05-19T15:58:41,0,133,0,133
2022-05-19T16:08:59,0,133,0,133
2022-05-19T16:19:17,0,133,0,133
2022-05-19T16:29:35,0,133,0,133
2022-05-19T16:40:06,0,133,0,133
2022-05-19T16:50:23,0,133,0,133
2022-05-19T17:00:40,0,133,0,133
2022-05-19T17:10:58,0,133,0,133
2022-05-19T17:21:15,0,133,0,133
2022-05-19T17:31:31,0,133,0,133
2022-05-19T17:41:47,0,133,0,133
2022-05-19T17:52:02,0,133,0,133
2022-05-19T18:02:38,0,133,0,133
2022-05-19T18:12:54,0,133,0,133
2022-05-19T18:23:09,0,133,0,133
2022-05-19T18:33:25,0,133,0,133
