time,enrolled,available,waitlisted,total
2022-05-18T04:37:36,0,20,0,20
2022-05-18T04:47:46,0,20,0,20
2022-05-18T04:57:56,0,20,0,20
2022-05-18T05:08:07,0,20,0,20
2022-05-18T05:18:17,0,20,0,20
2022-05-18T05:28:29,0,20,0,20
2022-05-18T05:38:39,0,20,0,20
2022-05-18T05:48:48,0,20,0,20
2022-05-18T05:58:59,0,20,0,20
2022-05-18T06:09:11,0,20,0,20
2022-05-18T06:19:20,0,20,0,20
2022-05-18T06:29:28,0,20,0,20
2022-05-18T06:39:36,0,20,0,20
2022-05-18T06:49:43,0,20,0,20
2022-05-18T06:59:51,0,20,0,20
2022-05-18T07:10:00,0,20,0,20
2022-05-18T07:20:08,0,20,0,20
2022-05-18T07:30:15,0,20,0,20
2022-05-18T07:40:24,0,20,0,20
2022-05-18T07:50:32,0,20,0,20
2022-05-18T08:00:40,0,20,0,20
2022-05-18T08:10:48,0,20,0,20
2022-05-18T08:20:56,0,20,0,20
2022-05-18T08:31:05,0,20,0,20
2022-05-18T08:41:13,0,20,0,20
2022-05-18T08:51:23,0,20,0,20
2022-05-18T09:01:32,0,20,0,20
2022-05-18T09:11:53,0,20,0,20
2022-05-18T09:22:02,0,20,0,20
2022-05-18T09:32:11,0,20,0,20
2022-05-18T09:42:20,0,20,0,20
2022-05-18T09:52:29,0,20,0,20
2022-05-18T10:02:41,0,20,0,20
2022-05-18T10:12:53,0,20,0,20
2022-05-18T10:23:04,0,20,0,20
2022-05-18T10:33:14,0,20,0,20
2022-05-18T10:43:36,0,20,0,20
2022-05-18T10:53:46,0,20,0,20
2022-05-18T11:03:57,0,20,0,20
2022-05-18T11:14:06,0,20,0,20
2022-05-18T11:24:15,0,20,0,20
2022-05-18T11:34:25,0,20,0,20
2022-05-18T11:44:33,0,20,0,20
2022-05-18T11:54:52,0,20,0,20
2022-05-18T12:05:01,0,20,0,20
2022-05-18T12:15:09,0,20,0,20
2022-05-18T12:25:18,0,20,0,20
2022-05-18T12:35:28,0,20,0,20
2022-05-18T12:45:38,0,20,0,20
2022-05-18T12:55:49,0,20,0,20
2022-05-18T13:05:59,0,20,0,20
2022-05-18T13:16:20,0,20,0,20
2022-05-18T13:26:30,0,20,0,20
2022-05-18T13:36:40,0,20,0,20
2022-05-18T13:46:51,0,20,0,20
2022-05-18T13:57:02,0,20,0,20
2022-05-18T14:07:13,0,20,0,20
2022-05-18T14:17:23,0,20,0,20
2022-05-18T14:27:45,0,20,0,20
2022-05-18T14:37:55,0,20,0,20
2022-05-18T14:48:05,0,20,0,20
2022-05-18T14:58:16,0,20,0,20
2022-05-18T15:08:28,0,20,0,20
2022-05-18T15:18:39,0,20,0,20
2022-05-18T15:28:49,0,20,0,20
2022-05-18T15:39:10,0,20,0,20
2022-05-18T15:49:21,0,20,0,20
2022-05-18T15:59:32,0,20,0,20
2022-05-18T16:09:43,0,20,0,20
2022-05-18T16:19:54,0,20,0,20
2022-05-18T16:30:04,0,20,0,20
2022-05-18T16:40:13,0,20,0,20
2022-05-18T16:50:23,0,20,0,20
2022-05-18T17:00:43,0,20,0,20
2022-05-18T17:10:54,0,20,0,20
2022-05-18T17:21:04,0,20,0,20
2022-05-18T17:31:13,0,20,0,20
2022-05-18T17:41:22,0,20,0,20
2022-05-18T17:51:31,0,20,0,20
2022-05-18T18:01:41,0,20,0,20
2022-05-18T18:11:50,0,20,0,20
2022-05-18T18:22:00,0,20,0,20
2022-05-18T18:32:10,0,20,0,20
2022-05-18T18:42:30,0,20,0,20
2022-05-18T18:52:39,0,20,0,20
2022-05-18T19:02:48,0,20,0,20
2022-05-18T19:12:56,0,20,0,20
2022-05-18T19:23:06,0,20,0,20
2022-05-18T19:33:15,0,20,0,20
2022-05-18T19:43:24,0,20,0,20
2022-05-18T19:53:33,0,20,0,20
2022-05-18T20:03:42,0,20,0,20
2022-05-18T20:13:51,0,20,0,20
2022-05-18T20:24:10,0,20,0,20
2022-05-18T20:34:19,0,20,0,20
2022-05-18T20:44:28,0,20,0,20
2022-05-18T20:54:37,0,20,0,20
2022-05-18T21:04:47,0,20,0,20
2022-05-18T21:14:56,0,20,0,20
2022-05-18T21:25:05,0,20,0,20
2022-05-18T21:35:14,0,20,0,20
2022-05-18T21:45:23,0,20,0,20
2022-05-18T21:55:42,0,20,0,20
2022-05-18T22:05:51,0,20,0,20
2022-05-18T22:15:59,0,20,0,20
2022-05-18T22:26:08,0,20,0,20
2022-05-18T22:36:18,0,20,0,20
2022-05-18T22:46:26,0,20,0,20
2022-05-18T22:56:35,0,20,0,20
2022-05-18T23:06:45,0,20,0,20
2022-05-18T23:16:55,0,20,0,20
2022-05-18T23:27:06,0,20,0,20
2022-05-18T23:37:28,0,20,0,20
2022-05-18T23:47:36,0,20,0,20
2022-05-18T23:57:45,0,20,0,20
2022-05-19T00:07:57,0,20,0,20
2022-05-19T00:18:09,0,20,0,20
2022-05-19T00:28:21,0,20,0,20
2022-05-19T00:38:37,0,20,0,20
2022-05-19T00:48:49,0,20,0,20
2022-05-19T00:59:00,0,20,0,20
2022-05-19T01:09:10,0,20,0,20
2022-05-19T01:19:20,0,20,0,20
2022-05-19T01:29:29,0,20,0,20
2022-05-19T01:39:38,0,20,0,20
2022-05-19T01:49:49,0,20,0,20
2022-05-19T02:00:09,0,20,0,20
2022-05-19T02:10:19,0,20,0,20
2022-05-19T02:20:28,0,20,0,20
2022-05-19T02:30:36,0,20,0,20
2022-05-19T02:40:44,0,20,0,20
2022-05-19T02:50:52,0,20,0,20
2022-05-19T03:01:01,0,20,0,20
2022-05-19T03:11:10,0,20,0,20
2022-05-19T03:21:22,0,20,0,20
2022-05-19T03:31:41,0,20,0,20
2022-05-19T03:41:52,0,20,0,20
2022-05-19T03:52:03,0,20,0,20
2022-05-19T04:02:13,0,20,0,20
2022-05-19T04:12:24,0,20,0,20
2022-05-19T04:28:24,0,20,0,20
2022-05-19T04:39:59,0,20,0,20
2022-05-19T04:50:11,0,20,0,20
2022-05-19T05:00:22,0,20,0,20
2022-05-19T05:10:35,0,20,0,20
2022-05-19T05:20:46,0,20,0,20
2022-05-19T05:30:57,0,20,0,20
2022-05-19T05:41:07,0,20,0,20
2022-05-19T05:51:17,0,20,0,20
2022-05-19T06:01:29,0,20,0,20
2022-05-19T06:11:39,0,20,0,20
2022-05-19T06:21:51,0,20,0,20
2022-05-19T06:32:01,0,20,0,20
2022-05-19T06:42:13,0,20,0,20
2022-05-19T06:52:23,0,20,0,20
2022-05-19T07:02:37,0,20,0,20
2022-05-19T07:12:48,0,20,0,20
2022-05-19T07:22:58,0,20,0,20
2022-05-19T07:33:07,0,20,0,20
2022-05-19T07:43:17,0,20,0,20
2022-05-19T07:53:26,0,20,0,20
2022-05-19T08:03:35,0,20,0,20
2022-05-19T08:13:44,0,20,0,20
2022-05-19T08:23:53,0,20,0,20
2022-05-19T08:34:03,0,20,0,20
2022-05-19T08:44:14,0,20,0,20
2022-05-19T08:54:24,0,20,0,20
2022-05-19T09:04:51,0,20,0,20
2022-05-19T09:15:02,0,20,0,20
2022-05-19T09:25:12,0,20,0,20
2022-05-19T09:35:23,0,20,0,20
2022-05-19T09:45:34,0,20,0,20
2022-05-19T09:55:45,0,20,0,20
2022-05-19T10:05:57,0,20,0,20
2022-05-19T10:16:08,0,20,0,20
2022-05-19T10:26:20,0,20,0,20
2022-05-19T10:36:37,0,20,0,20
2022-05-19T10:46:50,0,20,0,20
2022-05-19T10:57:02,0,20,0,20
2022-05-19T11:07:16,0,20,0,20
2022-05-19T11:17:42,0,20,0,20
2022-05-19T11:27:55,0,20,0,20
2022-05-19T11:38:07,0,20,0,20
2022-05-19T11:48:19,0,20,0,20
2022-05-19T11:58:31,0,20,0,20
2022-05-19T12:08:43,0,20,0,20
2022-05-19T12:18:55,0,20,0,20
2022-05-19T12:29:07,0,20,0,20
2022-05-19T12:39:20,0,20,0,20
2022-05-19T12:49:53,0,20,0,20
2022-05-19T13:00:06,0,20,0,20
2022-05-19T13:10:21,0,20,0,20
2022-05-19T13:20:35,0,20,0,20
2022-05-19T13:30:49,0,20,0,20
2022-05-19T13:41:03,0,20,0,20
2022-05-19T13:51:28,0,20,0,20
2022-05-19T14:01:43,0,20,0,20
2022-05-19T14:11:59,0,20,0,20
2022-05-19T14:22:15,0,20,0,20
2022-05-19T14:32:30,0,20,0,20
2022-05-19T14:42:48,0,20,0,20
2022-05-19T14:53:05,0,20,0,20
2022-05-19T15:03:21,0,20,0,20
2022-05-19T15:13:57,0,20,0,20
2022-05-19T15:24:15,0,20,0,20
2022-05-19T15:34:34,0,20,0,20
2022-05-19T15:44:52,0,20,0,20
2022-05-19T15:55:10,0,20,0,20
2022-05-19T16:05:29,0,20,0,20
2022-05-19T16:15:47,0,20,0,20
2022-05-19T16:26:05,0,20,0,20
2022-05-19T16:36:25,0,20,0,20
2022-05-19T16:46:53,0,20,0,20
2022-05-19T16:57:10,0,20,0,20
2022-05-19T17:07:28,0,20,0,20
2022-05-19T17:17:46,0,20,0,20
2022-05-19T17:28:01,0,20,0,20
2022-05-19T17:38:18,0,20,0,20
2022-05-19T17:48:33,0,20,0,20
2022-05-19T17:59:09,0,20,0,20
2022-05-19T18:09:24,0,20,0,20
2022-05-19T18:19:40,0,20,0,20
2022-05-19T18:29:55,0,20,0,20
2022-05-19T18:40:11,0,20,0,20
2022-05-19T18:50:26,0,20,0,20
2022-05-19T19:00:49,0,20,0,20
2022-05-19T19:11:14,0,20,0,20
2022-05-19T19:21:41,0,20,0,20
2022-05-19T19:32:19,0,20,0,20
2022-05-19T19:42:49,0,20,0,20
2022-05-19T19:53:13,0,20,0,20
2022-05-19T20:03:40,0,20,0,20
2022-05-19T20:14:06,0,20,0,20
2022-05-19T20:24:25,0,20,0,20
2022-05-19T20:34:52,0,20,0,20
2022-05-19T20:45:10,0,20,0,20
2022-05-19T20:55:32,0,20,0,20
2022-05-19T21:05:56,0,20,0,20
2022-05-19T21:16:18,0,20,0,20
2022-05-19T21:26:40,0,20,0,20
2022-05-19T21:37:03,0,20,0,20
2022-05-19T21:47:26,0,20,0,20
2022-05-19T21:57:58,0,20,0,20
2022-05-19T22:08:21,0,20,0,20
2022-05-19T22:18:40,0,20,0,20
2022-05-19T22:28:59,0,20,0,20
2022-05-19T22:39:17,0,20,0,20
2022-05-19T22:49:32,0,20,0,20
2022-05-19T22:59:46,0,20,0,20
2022-05-19T23:10:01,0,20,0,20
2022-05-19T23:20:17,0,20,0,20
2022-05-19T23:30:56,0,20,0,20
2022-05-19T23:41:10,0,20,0,20
2022-05-19T23:51:24,0,20,0,20
2022-05-20T00:01:40,0,20,0,20
2022-05-20T00:11:58,0,20,0,20
2022-05-20T00:22:17,0,20,0,20
2022-05-20T00:32:32,0,20,0,20
2022-05-20T00:42:47,0,20,0,20
2022-05-20T00:53:04,0,20,0,20
2022-05-20T01:03:20,0,20,0,20
2022-05-20T01:13:36,0,20,0,20
2022-05-20T01:24:03,0,20,0,20
2022-05-20T01:34:16,0,20,0,20
2022-05-20T01:44:31,0,20,0,20
2022-05-20T01:54:46,0,20,0,20
2022-05-20T02:05:01,0,20,0,20
2022-05-20T02:15:16,0,20,0,20
2022-05-20T02:25:39,0,20,0,20
2022-05-20T02:35:55,0,20,0,20
2022-05-20T02:46:10,0,20,0,20
2022-05-20T02:56:24,0,20,0,20
2022-05-20T03:06:39,0,20,0,20
2022-05-20T03:16:53,0,20,0,20
2022-05-20T03:27:07,0,20,0,20
2022-05-20T03:37:21,0,20,0,20
2022-05-20T03:47:37,0,20,0,20
2022-05-20T03:57:52,0,20,0,20
2022-05-20T04:34:11,0,20,0,20
2022-05-20T04:44:28,0,20,0,20
2022-05-20T04:54:45,0,20,0,20
2022-05-20T05:05:01,0,20,0,20
2022-05-20T05:15:16,0,20,0,20
2022-05-20T05:25:31,0,20,0,20
2022-05-20T05:35:47,0,20,0,20
2022-05-20T05:46:03,0,20,0,20
2022-05-20T05:56:19,0,20,0,20
2022-05-20T06:06:34,0,20,0,20
2022-05-20T06:16:49,0,20,0,20
2022-05-20T06:27:05,0,20,0,20
2022-05-20T06:37:19,0,20,0,20
2022-05-20T06:47:33,0,20,0,20
2022-05-20T06:57:47,0,20,0,20
2022-05-20T07:08:03,0,20,0,20
2022-05-20T07:18:17,0,20,0,20
2022-05-20T07:28:30,0,20,0,20
2022-05-20T07:38:44,0,20,0,20
2022-05-20T07:48:59,0,20,0,20
2022-05-20T07:59:13,0,20,0,20
2022-05-20T08:09:27,0,20,0,20
2022-05-20T08:19:41,0,20,0,20
2022-05-20T08:29:57,0,20,0,20
2022-05-20T08:40:12,0,20,0,20
2022-05-20T08:50:26,0,20,0,20
2022-05-20T09:00:41,0,20,0,20
2022-05-20T09:11:09,0,20,0,20
2022-05-20T09:21:25,0,20,0,20
2022-05-20T09:31:41,0,20,0,20
2022-05-20T09:41:56,0,20,0,20
2022-05-20T09:52:12,0,20,0,20
2022-05-20T10:02:29,0,20,0,20
2022-05-20T10:12:45,0,20,0,20
2022-05-20T10:23:00,0,20,0,20
2022-05-20T10:33:17,0,20,0,20
2022-05-20T10:43:32,0,20,0,20
2022-05-20T10:54:01,0,20,0,20
2022-05-20T11:04:18,0,20,0,20
2022-05-20T11:14:34,0,20,0,20
2022-05-20T11:24:50,0,20,0,20
2022-05-20T11:35:05,0,20,0,20
2022-05-20T11:45:22,0,20,0,20
2022-05-20T11:55:51,0,20,0,20
2022-05-20T12:06:07,0,20,0,20
2022-05-20T12:16:22,0,20,0,20
2022-05-20T12:26:38,0,20,0,20
2022-05-20T12:36:53,0,20,0,20
2022-05-20T12:47:08,0,20,0,20
2022-05-20T12:57:24,0,20,0,20
2022-05-20T13:07:51,0,20,0,20
2022-05-20T13:18:08,0,20,0,20
