time,enrolled,available,waitlisted,total
2022-05-20T04:30:50,0,14,0,14
2022-05-20T04:41:07,0,14,0,14
2022-05-20T04:51:24,0,14,0,14
2022-05-20T05:01:40,0,14,0,14
2022-05-20T05:11:56,0,14,0,14
2022-05-20T05:22:11,0,14,0,14
2022-05-20T05:32:26,0,14,0,14
2022-05-20T05:42:42,0,14,0,14
2022-05-20T05:52:58,0,14,0,14
2022-05-20T06:03:14,0,14,0,14
2022-05-20T06:13:28,0,14,0,14
2022-05-20T06:23:44,0,14,0,14
2022-05-20T06:33:59,0,14,0,14
2022-05-20T06:44:13,0,14,0,14
2022-05-20T06:54:26,0,14,0,14
2022-05-20T07:04:43,0,14,0,14
2022-05-20T07:14:57,0,14,0,14
2022-05-20T07:25:10,0,14,0,14
2022-05-20T07:35:24,0,14,0,14
2022-05-20T07:45:38,0,14,0,14
2022-05-20T07:55:52,0,14,0,14
2022-05-20T08:06:06,0,14,0,14
2022-05-20T08:16:20,0,14,0,14
2022-05-20T08:26:36,0,14,0,14
2022-05-20T08:36:51,0,14,0,14
2022-05-20T08:47:06,0,14,0,14
2022-05-20T08:57:20,0,14,0,14
2022-05-20T09:07:36,0,14,0,14
2022-05-20T09:18:04,0,14,0,14
2022-05-20T09:28:19,0,14,0,14
2022-05-20T09:38:35,0,14,0,14
2022-05-20T09:48:51,0,14,0,14
2022-05-20T09:59:07,0,14,0,14
2022-05-20T10:09:24,0,14,0,14
2022-05-20T10:19:39,0,14,0,14
2022-05-20T10:29:56,0,14,0,14
2022-05-20T10:40:11,0,14,0,14
2022-05-20T10:50:40,0,14,0,14
2022-05-20T11:00:56,0,14,0,14
2022-05-20T11:11:13,0,14,0,14
2022-05-20T11:21:29,0,14,0,14
2022-05-20T11:31:44,0,14,0,14
2022-05-20T11:42:01,0,14,0,14
2022-05-20T11:52:30,0,14,0,14
2022-05-20T12:02:46,0,14,0,14
2022-05-20T12:13:02,0,14,0,14
2022-05-20T12:23:17,0,14,0,14
2022-05-20T12:33:32,0,14,0,14
2022-05-20T12:43:47,0,14,0,14
2022-05-20T12:54:03,0,14,0,14
2022-05-20T13:04:30,0,14,0,14
2022-05-20T13:14:47,0,14,0,14
2022-05-20T13:25:03,0,14,0,14
2022-05-20T13:35:19,0,14,0,14
2022-05-20T13:45:36,0,14,0,14
2022-05-20T13:55:51,0,14,0,14
2022-05-20T14:06:18,0,14,0,14
2022-05-20T14:16:33,0,14,0,14
2022-05-20T14:26:49,0,14,0,14
2022-05-20T14:37:04,0,14,0,14
2022-05-20T14:47:20,0,14,0,14
2022-05-20T14:57:35,0,14,0,14
2022-05-20T15:08:01,0,14,0,14
2022-05-20T15:18:17,0,14,0,14
2022-05-20T15:28:32,0,14,0,14
2022-05-20T15:38:47,0,14,0,14
2022-05-20T15:49:02,0,14,0,14
2022-05-20T15:59:17,0,14,0,14
2022-05-20T16:09:32,0,14,0,14
2022-05-20T16:19:58,0,14,0,14
2022-05-20T16:30:12,0,14,0,14
2022-05-20T16:40:26,0,14,0,14
2022-05-20T16:50:41,0,14,0,14
2022-05-20T17:00:55,0,14,0,14
2022-05-20T17:11:10,0,14,0,14
2022-05-20T17:21:23,0,14,0,14
2022-05-20T17:31:37,1,13,0,14
2022-05-20T17:41:51,1,13,0,14
2022-05-20T17:52:06,1,13,0,14
2022-05-20T18:02:20,1,13,0,14
2022-05-20T18:12:43,1,13,0,14
2022-05-20T18:22:56,1,13,0,14
2022-05-20T18:33:09,1,13,0,14
2022-05-20T18:43:23,1,13,0,14
2022-05-20T18:53:36,1,13,0,14
2022-05-20T19:03:50,1,13,0,14
2022-05-20T19:14:04,1,13,0,14
2022-05-20T19:24:18,1,13,0,14
2022-05-20T19:34:32,1,13,0,14
2022-05-20T19:44:46,1,13,0,14
2022-05-20T19:55:00,1,13,0,14
2022-05-20T20:05:23,1,13,0,14
2022-05-20T20:15:37,1,13,0,14
2022-05-20T20:25:51,1,13,0,14
2022-05-20T20:36:04,1,13,0,14
2022-05-20T20:46:17,1,13,0,14
2022-05-20T20:56:31,1,13,0,14
2022-05-20T21:06:45,1,13,0,14
2022-05-20T21:16:58,1,13,0,14
2022-05-20T21:27:23,1,13,0,14
2022-05-20T21:37:36,1,13,0,14
2022-05-20T21:47:50,1,13,0,14
2022-05-20T21:58:04,1,13,0,14
2022-05-20T22:08:18,1,13,0,14
2022-05-20T22:18:32,1,13,0,14
2022-05-20T22:28:47,1,13,0,14
