time,enrolled,available,waitlisted,total
2022-05-18T04:31:38,0,30,0,30
2022-05-18T04:42:11,0,30,0,30
2022-05-18T04:52:21,0,30,0,30
2022-05-18T05:02:33,0,30,0,30
2022-05-18T05:12:43,0,30,0,30
2022-05-18T05:22:54,0,30,0,30
2022-05-18T05:33:04,0,30,0,30
2022-05-18T05:43:14,0,30,0,30
2022-05-18T05:53:24,0,30,0,30
2022-05-18T06:03:38,0,30,0,30
2022-05-18T06:13:46,0,30,0,30
2022-05-18T06:23:54,0,30,0,30
2022-05-18T06:34:03,0,30,0,30
2022-05-18T06:44:10,0,30,0,30
2022-05-18T06:54:17,0,30,0,30
2022-05-18T07:04:26,0,30,0,30
2022-05-18T07:14:35,0,30,0,30
2022-05-18T07:24:42,0,30,0,30
2022-05-18T07:34:50,0,30,0,30
2022-05-18T07:44:58,0,30,0,30
2022-05-18T07:55:06,0,30,0,30
2022-05-18T08:05:14,0,30,0,30
2022-05-18T08:15:22,0,30,0,30
2022-05-18T08:25:31,0,30,0,30
2022-05-18T08:35:39,0,30,0,30
2022-05-18T08:45:49,0,30,0,30
2022-05-18T08:55:58,0,30,0,30
2022-05-18T09:06:07,0,30,0,30
2022-05-18T09:16:28,0,30,0,30
2022-05-18T09:26:37,0,30,0,30
2022-05-18T09:36:46,0,30,0,30
2022-05-18T09:46:55,0,30,0,30
2022-05-18T09:57:05,0,30,0,30
2022-05-18T10:07:17,0,30,0,30
2022-05-18T10:17:28,0,30,0,30
2022-05-18T10:27:39,0,30,0,30
2022-05-18T10:38:02,0,30,0,30
2022-05-18T10:48:12,0,30,0,30
2022-05-18T10:58:22,0,30,0,30
2022-05-18T11:08:32,0,30,0,30
2022-05-18T11:18:41,0,30,0,30
2022-05-18T11:28:50,0,30,0,30
2022-05-18T11:38:59,0,30,0,30
2022-05-18T11:49:08,0,30,0,30
2022-05-18T11:59:27,0,30,0,30
2022-05-18T12:09:35,0,30,0,30
2022-05-18T12:19:44,0,30,0,30
2022-05-18T12:29:54,0,30,0,30
2022-05-18T12:40:04,0,30,0,30
2022-05-18T12:50:15,0,30,0,30
2022-05-18T13:00:25,0,30,0,30
2022-05-18T13:10:46,0,30,0,30
2022-05-18T13:20:56,0,30,0,30
2022-05-18T13:31:06,0,30,0,30
2022-05-18T13:41:17,0,30,0,30
2022-05-18T13:51:28,0,30,0,30
2022-05-18T14:01:38,0,30,0,30
2022-05-18T14:11:49,0,30,0,30
2022-05-18T14:21:59,0,30,0,30
2022-05-18T14:32:21,0,30,0,30
2022-05-18T14:42:31,0,30,0,30
2022-05-18T14:52:41,0,30,0,30
2022-05-18T15:02:52,0,30,0,30
2022-05-18T15:13:04,0,30,0,30
2022-05-18T15:23:15,0,30,0,30
2022-05-18T15:33:25,0,30,0,30
2022-05-18T15:43:47,0,30,0,30
2022-05-18T15:53:57,0,30,0,30
2022-05-18T16:04:08,0,30,0,30
2022-05-18T16:14:20,0,30,0,30
2022-05-18T16:24:30,0,30,0,30
2022-05-18T16:34:40,0,30,0,30
2022-05-18T16:44:50,0,30,0,30
2022-05-18T16:54:59,0,30,0,30
2022-05-18T17:05:20,0,30,0,30
2022-05-18T17:15:30,0,30,0,30
2022-05-18T17:25:40,0,30,0,30
2022-05-18T17:35:49,0,30,0,30
2022-05-18T17:45:58,0,30,0,30
2022-05-18T17:56:07,0,30,0,30
2022-05-18T18:06:17,0,30,0,30
2022-05-18T18:16:26,0,30,0,30
2022-05-18T18:26:37,0,30,0,30
2022-05-18T18:36:57,0,30,0,30
2022-05-18T18:47:06,0,30,0,30
2022-05-18T18:57:14,0,30,0,30
2022-05-18T19:07:24,0,30,0,30
2022-05-18T19:17:32,0,30,0,30
2022-05-18T19:27:42,0,30,0,30
2022-05-18T19:37:51,0,30,0,30
2022-05-18T19:48:00,0,30,0,30
2022-05-18T19:58:09,0,30,0,30
2022-05-18T20:08:17,0,30,0,30
2022-05-18T20:18:38,0,30,0,30
2022-05-18T20:28:46,0,30,0,30
2022-05-18T20:38:55,0,30,0,30
