time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total
1646940661249,COGS 1,A01,072894,Boyle; Mary E. T.,0,5,60
1646940661249,COGS 1,A02,072895,Boyle; Mary E. T.,0,6,60
1646940661249,COGS 1,A03,072896,Boyle; Mary E. T.,0,6,60
1646940661249,COGS 1,A04,072897,Boyle; Mary E. T.,0,6,60
1646940661249,COGS 1,A05,072898,Boyle; Mary E. T.,0,7,60
1646940661249,COGS 1,A06,072899,Boyle; Mary E. T.,1,7,60
1646940661249,COGS 1,A07,072900,Boyle; Mary E. T.,0,6,57
1646940664273,COGS 8,A01,072902,Staff,0,6,35
1646940667310,COGS 10,A01,072904,Klemmer; Scott R,0,0,60
1646940667310,COGS 10,A02,072905,Klemmer; Scott R,8,0,60
1646940667310,COGS 10,A03,072906,Klemmer; Scott R,11,0,60
1646940667310,COGS 10,A04,072907,Klemmer; Scott R,15,0,60
1646940667310,COGS 10,A05,072908,Klemmer; Scott R,30,0,60
1646940670362,COGS 11,A01,072910,Boroditsky; Lera,0,1,145
1646940673395,COGS 12,A00,072911,Boroditsky; Lera,0,2,50
1646940676432,COGS 14A,A01,072913,Davis; Joshua Daniel,0,19,60
1646940676432,COGS 14A,A02,072914,Davis; Joshua Daniel,0,17,60
1646940676432,COGS 14A,A03,072915,Davis; Joshua Daniel,0,16,60
1646940676432,COGS 14A,A04,072916,Davis; Joshua Daniel,0,20,60
1646940679489,COGS 14B,A01,072918,Barrera; Steven James,0,8,60
1646940679489,COGS 14B,A02,072919,Barrera; Steven James,0,7,60
1646940679489,COGS 14B,A03,072920,Barrera; Steven James,0,6,60
1646940682518,COGS 17,A01,072922,Johnson; Christine M.,0,11,60
1646940682518,COGS 17,A02,072923,Johnson; Christine M.,0,9,60
1646940682518,COGS 17,A03,072924,Johnson; Christine M.,0,11,60
1646940682518,COGS 17,A04,072925,Johnson; Christine M.,0,11,60
1646940682518,COGS 17,A05,072926,Johnson; Christine M.,0,10,60
1646940685549,COGS 18,A01,072928,Bardolph; Megan Dalene,0,14,35
1646940685549,COGS 18,A02,072929,Bardolph; Megan Dalene,0,14,35
1646940685549,COGS 18,A03,072930,Bardolph; Megan Dalene,0,13,35
1646940685549,COGS 18,A04,072931,Bardolph; Megan Dalene,0,18,35
1646940685549,COGS 18,A05,072932,Bardolph; Megan Dalene,0,15,35
1646940685549,COGS 18,A06,072933,Bardolph; Megan Dalene,0,15,35
1646940685549,COGS 18,A07,072934,Bardolph; Megan Dalene,0,15,35
1646940685549,COGS 18,A08,072935,Bardolph; Megan Dalene,0,16,35
1646940685549,COGS 18,B01,083188,Green; Daniel Richard,0,3,0
1646940688573,COGS 87,A00,073397,Deak; Gedeon O.,0,9,20
1646940691617,COGS 99,001,084891,Johnson; Christine M.,9997,0,9999
1646940694640,COGS 100,A01,072942,Scott; Taylor Jackson,0,19,60
1646940694640,COGS 100,A02,072943,Scott; Taylor Jackson,0,21,60
1646940694640,COGS 100,A03,072944,Scott; Taylor Jackson,0,21,60
1646940694640,COGS 100,A04,072945,Scott; Taylor Jackson,0,22,60
1646940694640,COGS 100,A05,072946,Scott; Taylor Jackson,0,18,60
1646940697673,COGS 101A,A01,072948,Barrera; Steven James,0,21,60
1646940697673,COGS 101A,A02,072949,Barrera; Steven James,0,23,60
1646940697673,COGS 101A,A03,072950,Barrera; Steven James,0,21,60
1646940697673,COGS 101A,A04,072951,Barrera; Steven James,0,20,60
1646940700704,COGS 101C,A01,072953,Staff,0,4,60
1646940700704,COGS 101C,A02,072954,Staff,0,0,60
1646940700704,COGS 101C,A03,072955,Staff,29,0,60
1646940703752,COGS 102C,A01,072958,Scott; Taylor Jackson,0,2,60
1646940703752,COGS 102C,A02,072959,Scott; Taylor Jackson,24,0,60
