time,enrolled,available,waitlisted,total,normalized_available,normalized_waitlisted,normalized_enrolled
2022-04-09T12:53:15,0,0,0,0,-1,-1,-1
2022-04-09T13:10:33,0,0,0,0,-1,-1,-1
2022-04-09T13:27:44,0,0,0,0,-1,-1,-1
2022-04-09T13:42:42,0,0,0,0,-1,-1,-1
2022-04-09T13:59:53,0,0,0,0,-1,-1,-1
2022-04-09T14:17:03,0,0,0,0,-1,-1,-1
2022-04-09T14:34:14,0,0,0,0,-1,-1,-1
2022-04-09T14:51:25,0,0,0,0,-1,-1,-1
2022-04-09T15:08:36,0,0,0,0,-1,-1,-1
2022-04-09T15:25:47,0,0,0,0,-1,-1,-1
2022-04-09T15:43:01,0,0,0,0,-1,-1,-1
2022-04-09T16:00:11,0,0,0,0,-1,-1,-1
2022-04-09T16:17:22,0,0,0,0,-1,-1,-1
2022-04-09T16:34:33,0,0,0,0,-1,-1,-1
2022-04-09T16:51:44,0,0,0,0,-1,-1,-1
2022-04-09T17:08:54,0,0,0,0,-1,-1,-1
2022-04-09T17:26:05,0,0,0,0,-1,-1,-1
2022-04-09T17:43:16,0,0,0,0,-1,-1,-1
2022-04-09T18:00:27,0,0,0,0,-1,-1,-1
2022-04-09T18:17:42,0,0,0,0,-1,-1,-1
2022-04-09T18:34:52,0,0,0,0,-1,-1,-1
2022-04-09T18:52:03,0,0,0,0,-1,-1,-1
2022-04-09T19:09:14,0,0,0,0,-1,-1,-1
2022-04-09T19:26:24,0,0,0,0,-1,-1,-1
2022-04-09T19:43:35,0,0,0,0,-1,-1,-1
2022-04-09T20:00:46,0,0,0,0,-1,-1,-1
2022-04-09T20:17:56,0,0,0,0,-1,-1,-1
2022-04-09T20:35:14,0,0,0,0,-1,-1,-1
2022-04-09T20:52:24,0,0,0,0,-1,-1,-1
2022-04-09T21:09:35,0,0,0,0,-1,-1,-1
2022-04-09T21:26:46,0,0,0,0,-1,-1,-1
2022-04-09T21:43:57,0,0,0,0,-1,-1,-1
2022-04-09T22:01:08,0,0,0,0,-1,-1,-1
2022-04-09T22:18:18,0,0,0,0,-1,-1,-1
2022-04-09T22:35:35,0,0,0,0,-1,-1,-1
2022-04-09T22:52:46,0,0,0,0,-1,-1,-1
2022-04-09T23:09:57,0,0,0,0,-1,-1,-1
2022-04-09T23:27:08,0,0,0,0,-1,-1,-1
2022-04-09T23:44:18,0,0,0,0,-1,-1,-1
2022-04-10T00:01:29,0,0,0,0,-1,-1,-1
2022-04-10T00:18:40,0,0,0,0,-1,-1,-1
2022-04-10T00:35:51,0,0,0,0,-1,-1,-1
2022-04-10T00:53:02,0,0,0,0,-1,-1,-1
2022-04-10T01:10:12,0,0,0,0,-1,-1,-1
2022-04-10T01:27:31,0,0,0,0,-1,-1,-1
2022-04-10T01:44:42,0,0,0,0,-1,-1,-1
2022-04-10T02:01:52,0,0,0,0,-1,-1,-1
2022-04-10T02:19:03,0,0,0,0,-1,-1,-1
2022-04-10T02:36:15,0,0,0,0,-1,-1,-1
2022-04-10T02:53:26,0,0,0,0,-1,-1,-1
2022-04-10T03:10:37,0,0,0,0,-1,-1,-1
2022-04-10T03:27:56,0,0,0,0,-1,-1,-1
2022-04-10T03:45:08,0,0,0,0,-1,-1,-1
2022-04-10T04:03:48,0,0,0,0,-1,-1,-1
2022-04-10T04:28:25,0,0,0,0,-1,-1,-1
2022-04-10T04:45:36,0,0,0,0,-1,-1,-1
2022-04-10T05:02:48,0,0,0,0,-1,-1,-1
2022-04-10T05:20:00,0,0,0,0,-1,-1,-1
2022-04-10T05:37:11,0,0,0,0,-1,-1,-1
2022-04-10T05:54:23,0,0,0,0,-1,-1,-1
2022-04-10T06:11:34,0,0,0,0,-1,-1,-1
2022-04-10T06:28:55,0,0,0,0,-1,-1,-1
2022-04-10T06:46:10,0,0,0,0,-1,-1,-1
2022-04-10T07:03:21,0,0,0,0,-1,-1,-1
2022-04-10T07:20:31,0,0,0,0,-1,-1,-1
2022-04-10T07:37:42,0,0,0,0,-1,-1,-1
2022-04-10T07:54:53,0,0,0,0,-1,-1,-1
2022-04-10T08:12:04,0,0,0,0,-1,-1,-1
2022-04-10T08:29:15,0,0,0,0,-1,-1,-1
2022-04-10T08:46:41,0,0,0,0,-1,-1,-1
2022-04-10T09:03:53,0,0,0,0,-1,-1,-1
2022-04-10T09:21:05,0,0,0,0,-1,-1,-1
2022-04-10T09:38:17,0,0,0,0,-1,-1,-1
2022-04-10T09:55:28,0,0,0,0,-1,-1,-1
2022-04-10T10:12:40,0,0,0,0,-1,-1,-1
2022-04-10T10:29:51,0,0,0,0,-1,-1,-1
2022-04-10T10:47:02,0,0,0,0,-1,-1,-1
2022-04-10T11:04:13,0,0,0,0,-1,-1,-1
2022-04-10T11:21:33,0,0,0,0,-1,-1,-1
2022-04-10T11:38:44,0,0,0,0,-1,-1,-1
2022-04-10T11:55:54,0,0,0,0,-1,-1,-1
2022-04-10T12:13:05,0,0,0,0,-1,-1,-1
2022-04-10T12:30:16,0,0,0,0,-1,-1,-1
2022-04-10T12:47:27,0,0,0,0,-1,-1,-1
2022-04-10T13:04:38,0,0,0,0,-1,-1,-1
2022-04-10T13:21:56,0,0,0,0,-1,-1,-1
2022-04-10T13:39:07,0,0,0,0,-1,-1,-1
