time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1651231652431,COGS 1,A01,072894,Boyle; Mary E. T.,0,1,60,65
1651231652431,COGS 1,A02,072895,Boyle; Mary E. T.,0,1,60,61
1651231652431,COGS 1,A03,072896,Boyle; Mary E. T.,0,1,60,63
1651231652431,COGS 1,A04,072897,Boyle; Mary E. T.,0,1,60,61
1651231652431,COGS 1,A05,072898,Boyle; Mary E. T.,0,1,60,64
1651231652431,COGS 1,A06,072899,Boyle; Mary E. T.,0,1,60,64
1651231652431,COGS 1,A07,072900,Boyle; Mary E. T.,0,1,57,59
1651231658465,COGS 8,A01,072902,Leonardis; Eric Jeffrey,0,0,35,35
1651231664509,COGS 10,A01,072904,Klemmer; Scott R,4,1,60,56
1651231664509,COGS 10,A02,072905,Klemmer; Scott R,4,0,60,56
1651231664509,COGS 10,A03,072906,Klemmer; Scott R,3,1,60,57
1651231664509,COGS 10,A04,072907,Klemmer; Scott R,3,0,60,57
1651231664509,COGS 10,A05,072908,Klemmer; Scott R,4,0,60,56
1651231670538,COGS 11,A01,072910,Boroditsky; Lera,18,3,149,131
1651231676567,COGS 12,A00,072911,Boroditsky; Lera,3,0,50,47
1651231682616,COGS 14A,A01,072913,Davis; Joshua Daniel,0,1,75,75
1651231682616,COGS 14A,A02,072914,Davis; Joshua Daniel,2,2,70,68
1651231682616,COGS 14A,A03,072915,Davis; Joshua Daniel,0,1,70,71
1651231682616,COGS 14A,A04,072916,Davis; Joshua Daniel,1,2,70,69
1651231688647,COGS 14B,A01,072918,Barrera; Steven James,0,4,60,61
1651231688647,COGS 14B,A02,072919,Barrera; Steven James,0,2,60,61
1651231688647,COGS 14B,A03,072920,Barrera; Steven James,4,4,60,56
1651231694686,COGS 17,A01,072922,Johnson; Christine M.,0,3,60,60
1651231694686,COGS 17,A02,072923,Johnson; Christine M.,0,4,60,60
1651231694686,COGS 17,A03,072924,Johnson; Christine M.,0,0,60,61
1651231694686,COGS 17,A04,072925,Johnson; Christine M.,1,1,60,59
1651231694686,COGS 17,A05,072926,Johnson; Christine M.,0,4,60,60
1651231694686,COGS 17,A06,085929,Johnson; Christine M.,8,0,56,48
1651231700721,COGS 18,B01,083188,Green; Daniel Richard,0,4,0,15
1651231706758,COGS 87,A00,073397,Deak; Gedeon O.,5,1,20,15
1651231712788,COGS 99,001,084891,Johnson; Christine M.,9996,0,9999,3
1651231712788,COGS 99,002,091952,Fleischer; Jason G,9998,0,9999,1
1651231718819,COGS 100,A01,072942,Scott; Taylor Jackson,0,7,60,63
1651231718819,COGS 100,A02,072943,Scott; Taylor Jackson,0,7,60,60
1651231718819,COGS 100,A03,072944,Scott; Taylor Jackson,0,9,60,62
1651231718819,COGS 100,A04,072945,Scott; Taylor Jackson,0,7,60,61
1651231718819,COGS 100,A05,072946,Scott; Taylor Jackson,1,8,60,59
1651231724849,COGS 101A,A01,072948,Barrera; Steven James,0,7,60,69
1651231724849,COGS 101A,A02,072949,Barrera; Steven James,0,7,60,64
1651231724849,COGS 101A,A03,072950,Barrera; Steven James,0,3,60,66
1651231724849,COGS 101A,A04,072951,Barrera; Steven James,0,6,60,64
1651231730876,COGS 101C,A01,072953,Trott; Sean Thomas,0,1,60,69
1651231730876,COGS 101C,A02,072954,Trott; Sean Thomas,0,0,60,65
1651231730876,COGS 101C,A03,072955,Trott; Sean Thomas,0,2,60,66
1651231736903,COGS 102C,A01,072958,Scott; Taylor Jackson,5,0,60,55
1651231736903,COGS 102C,A02,072959,Scott; Taylor Jackson,6,0,60,54
