time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1650885892567,COGS 1,A01,072894,Boyle; Mary E. T.,0,1,60,65
1650885892567,COGS 1,A02,072895,Boyle; Mary E. T.,0,1,60,62
1650885892567,COGS 1,A03,072896,Boyle; Mary E. T.,0,1,60,63
1650885892567,COGS 1,A04,072897,Boyle; Mary E. T.,0,1,60,61
1650885892567,COGS 1,A05,072898,Boyle; Mary E. T.,0,1,60,64
1650885892567,COGS 1,A06,072899,Boyle; Mary E. T.,0,1,60,64
1650885892567,COGS 1,A07,072900,Boyle; Mary E. T.,0,1,57,59
1650885898597,COGS 8,A01,072902,Leonardis; Eric Jeffrey,0,0,35,35
1650885904635,COGS 10,A01,072904,Klemmer; Scott R,4,1,60,56
1650885904635,COGS 10,A02,072905,Klemmer; Scott R,4,0,60,56
1650885904635,COGS 10,A03,072906,Klemmer; Scott R,2,1,60,58
1650885904635,COGS 10,A04,072907,Klemmer; Scott R,2,0,60,58
1650885904635,COGS 10,A05,072908,Klemmer; Scott R,3,0,60,57
1650885910667,COGS 11,A01,072910,Boroditsky; Lera,18,3,149,131
1650885916700,COGS 12,A00,072911,Boroditsky; Lera,3,0,50,47
1650885922730,COGS 14A,A01,072913,Davis; Joshua Daniel,0,1,75,75
1650885922730,COGS 14A,A02,072914,Davis; Joshua Daniel,2,2,70,68
1650885922730,COGS 14A,A03,072915,Davis; Joshua Daniel,0,1,70,71
1650885922730,COGS 14A,A04,072916,Davis; Joshua Daniel,0,2,70,70
1650885928766,COGS 14B,A01,072918,Barrera; Steven James,0,4,60,61
1650885928766,COGS 14B,A02,072919,Barrera; Steven James,0,2,60,61
1650885928766,COGS 14B,A03,072920,Barrera; Steven James,4,4,60,56
1650885934806,COGS 17,A01,072922,Johnson; Christine M.,0,3,60,60
1650885934806,COGS 17,A02,072923,Johnson; Christine M.,0,4,60,60
1650885934806,COGS 17,A03,072924,Johnson; Christine M.,0,0,60,61
1650885934806,COGS 17,A04,072925,Johnson; Christine M.,1,1,60,59
1650885934806,COGS 17,A05,072926,Johnson; Christine M.,0,4,60,60
1650885934806,COGS 17,A06,085929,Johnson; Christine M.,8,0,56,48
1650885940844,COGS 18,B01,083188,Green; Daniel Richard,0,4,0,15
1650885946877,COGS 87,A00,073397,Deak; Gedeon O.,5,1,20,15
1650885952913,COGS 99,001,084891,Johnson; Christine M.,9996,0,9999,3
1650885952913,COGS 99,002,091952,Fleischer; Jason G,9998,0,9999,1
1650885958946,COGS 100,A01,072942,Scott; Taylor Jackson,0,7,60,63
1650885958946,COGS 100,A02,072943,Scott; Taylor Jackson,0,7,60,60
1650885958946,COGS 100,A03,072944,Scott; Taylor Jackson,0,9,60,62
1650885958946,COGS 100,A04,072945,Scott; Taylor Jackson,0,7,60,61
1650885958946,COGS 100,A05,072946,Scott; Taylor Jackson,1,8,60,59
1650885964981,COGS 101A,A01,072948,Barrera; Steven James,0,7,60,69
1650885964981,COGS 101A,A02,072949,Barrera; Steven James,0,7,60,64
1650885964981,COGS 101A,A03,072950,Barrera; Steven James,0,3,60,66
1650885964981,COGS 101A,A04,072951,Barrera; Steven James,0,6,60,64
